object			
volume	61157	Bégin	1823
entry	Absinthe (grande)	0	
orth	Absinthe (grande)		
entry	Absorbant	1	
orth	Absorbant		
pb	5	0015	
entry	Absorption	0	
orth	Absorption		
entry	Abstème	0	
orth	Abstème		
entry	Abstergent	0	
orth	Abstergent		
entry	Absterger	0	
orth	Absterger		
entry	Abstersif	0	
orth	Abstersif		
entry	Abstersion	0	
orth	Abstersion		
entry	Abstinence	0	
orth	Abstinence		
entry	Absus	0	
orth	Absus		
entry	Abutilon	0	
orth	Abutilon		
entry	Acabit	0	
orth	Acabit		
entry	Acacia (suc d')	0	
orth	Acacia (suc d')		
entry	Acajou (noix d')	1	
orth	Acajou (noix d')		
pb	6	0016	
entry	Acampsie	0	
orth	Acampsie		
entry	Acanthabole	0	
orth	Acanthabole		
entry	Acanthe	0	
orth	Acanthe		
entry	Acardie	0	
orth	Acardie		
entry	Acarus	0	
orth	Acarus		
entry	Acatalepsie	0	
orth	Acatalepsie		
entry	Acatapose	0	
orth	Acatapose		
entry	Acatastatique	0	
orth	Acatastatique		
entry	Acaule	0	
orth	Acaule		
entry	Acaweria	0	
orth	Acaweria		
entry	Accablement	0	
orth	Accablement		
entry	Accélérateur	0	
orth	Accélérateur		
entry	Accélération	0	
orth	Accélération		
entry	Accéléré	0	
orth	Accéléré		
entry	Accent	0	
orth	Accent		
entry	Accès	1	
orth	Accès		
pb	7	0017	
entry	Accessoire	0	
orth	Accessoire		
entry	Accident	0	
orth	Accident		
entry	Accidentel	0	
orth	Accidentel		
entry	Acclimaté	0	
orth	Acclimaté		
entry	Acclimatement	0	
orth	Acclimatement		
entry	Accompagnement	0	
orth	Accompagnement		
entry	Accord	0	
orth	Accord		
entry	Accouchée	0	
orth	Accouchée		
entry	Accouchement	1	
orth	Accouchement		
pb	8	0018	
entry	Accoucher	0	
orth	Accoucher		
entry	Accoucher	0	
orth	Accoucher		
entry	Accoucheur	0	
orth	Accoucheur		
entry	Accoucheuse	0	
orth	Accoucheuse		
entry	Accouplement	0	
orth	Accouplement		
entry	Accoupler	0	
orth	Accoupler		
entry	Accoutumer	0	
orth	Accoutumer		
entry	Accrétion	0	
orth	Accrétion		
entry	Accroissement	0	
orth	Accroissement		
entry	Acculer (s’)	0	
orth	Acculer (s’)		
entry	Acédie	0	
orth	Acédie		
entry	Acéphale	0	
orth	Acéphale		
entry	Acéphalie	0	
orth	Acéphalie		
entry	Acéphalorrache	0	
orth	Acéphalorrache		
entry	Acéphalochire	0	
orth	Acéphalochire		
entry	Acéphalocyste	0	
orth	Acéphalocyste		
entry	Acéphalogastre	0	
orth	Acéphalogastre		
entry	Acéphalostome	0	
orth	Acéphalostome		
entry	Acéphalothore	0	
orth	Acéphalothore		
entry	Acerbe	0	
orth	Acerbe		
entry	Acerbité	1	
orth	Acerbité		
pb	9	0019	
entry	Acéride	0	
orth	Acéride		
entry	Acescence	0	
orth	Acescence		
entry	Acescent	0	
orth	Acescent		
entry	Acestride	0	
orth	Acestride		
entry	Acétabule	0	
orth	Acétabule		
entry	Acétate	1	
orth	Acétate		
pb	10	0020	
entry	Acéteux	0	
orth	Acéteux		
entry	Acétique	0	
orth	Acétique		
entry	Acétite	0	
orth	Acétite		
entry	Achaine, Achène	0	
orth	Achaine		
orth	Achène		
entry	Ache	0	
orth	Ache		
entry	Achène, Achaine	0	
orth	Achène		
orth	Achaine		
entry	Achillée	0	
orth	Achillée		
entry	Achimbassi	0	
orth	Achimbassi		
entry	Achire	0	
orth	Achire		
entry	Achlys	0	
orth	Achlys		
entry	Achne	0	
orth	Achne		
entry	Achores	0	
orth	Achores		
entry	Achoriste	0	
orth	Achoriste		
entry	Aciculaire	0	
orth	Aciculaire		
entry	Acide	0	
orth	Acide		
entry	Acidifère	0	
orth	Acidifère		
entry	Acidifiable	0	
orth	Acidifiable		
entry	Acidifiant	0	
orth	Acidifiant		
entry	Acidification	0	
orth	Acidification		
entry	Acidité	1	
orth	Acidité		
pb	11	0021	
entry	Acidule	0	
orth	Acidule		
entry	Aciduler	0	
orth	Aciduler		
entry	Acidum	0	
orth	Acidum		
entry	Acier	0	
orth	Acier		
entry	Aciesie	0	
orth	Aciesie		
entry	Acinaciforme	0	
orth	Acinaciforme		
entry	Acine	0	
orth	Acine		
entry	Acinesie	0	
orth	Acinesie		
entry	Aciniforme	0	
orth	Aciniforme		
entry	Acinos	0	
orth	Acinos		
entry	Acmastique	0	
orth	Acmastique		
entry	Acmé	0	
orth	Acmé		
entry	Acmella	0	
orth	Acmella		
entry	Acné	0	
orth	Acné		
entry	Acologie	0	
orth	Acologie		
entry	Aconit	0	
orth	Aconit		
entry	Aconitine	1	
orth	Aconitine		
pb	12	0022	
entry	Acope	0	
orth	Acope		
entry	Acore faux	0	
orth	Acore faux		
entry	Acore vrai	0	
orth	Acore vrai		
entry	Acorie	0	
orth	Acorie		
entry	Acosmie	0	
orth	Acosmie		
entry	Acotyledon, Acotyledoné	0	
orth	Acotyledon		
orth	Acotyledoné		
entry	Acotylédonie	0	
orth	Acotylédonie		
entry	Acoumètre	0	
orth	Acoumètre		
entry	Acoustico-malleen	0	
orth	Acoustico-malleen		
entry	Acoustique	0	
orth	Acoustique		
entry	Acquis	0	
orth	Acquis		
entry	Acranie	0	
orth	Acranie		
entry	Acrasie	0	
orth	Acrasie		
entry	Acratie	0	
orth	Acratie		
entry	Acre	0	
orth	Acre		
entry	Acreté	0	
orth	Acreté		
entry	Acrétopote	0	
orth	Acrétopote		
entry	Acridophage	0	
orth	Acridophage		
entry	Acrimonie	0	
orth	Acrimonie		
entry	Acrimonieux	0	
orth	Acrimonieux		
entry	Acrisie	1	
orth	Acrisie		
pb	13	0023	
entry	Acrobystie	0	
orth	Acrobystie		
entry	Acritique	0	
orth	Acritique		
entry	Acrochin	0	
orth	Acrochin		
entry	Acrochirèse	0	
orth	Acrochirèse		
entry	Acrochirisme	0	
orth	Acrochirisme		
entry	Acrochordon	0	
orth	Acrochordon		
entry	Acrolénion	0	
orth	Acrolénion		
entry	Acromial	0	
orth	Acromial		
entry	Acromio-coracoïdien	0	
orth	Acromio-coracoïdien		
entry	Acromio-huméral (sous-)	0	
orth	Acromio-huméral (sous-)		
entry	Acromion	0	
orth	Acromion		
entry	Acromphale	0	
orth	Acromphale		
entry	Acropathie	0	
orth	Acropathie		
entry	Acroposthie	0	
orth	Acroposthie		
entry	Acrosarque	0	
orth	Acrosarque		
entry	Acrotériasme	0	
orth	Acrotériasme		
entry	Acrothymion	0	
orth	Acrothymion		
entry	Acta	0	
orth	Acta		
entry	Acte	0	
orth	Acte		
entry	Actif	0	
orth	Actif		
entry	Action	0	
orth	Action		
entry	Activité	0	
orth	Activité		
entry	Actuel	0	
orth	Actuel		
entry	Acuite	0	
orth	Acuite		
entry	Acuminé	1	
orth	Acuminé		
pb	14	0024	
entry	Acutangulé	0	
orth	Acutangulé		
entry	Acupuncture	0	
orth	Acupuncture		
entry	Acyanoblepsie	0	
orth	Acyanoblepsie		
entry	Acysie	0	
orth	Acysie		
entry	Adal	0	
orth	Adal		
entry	Adarticulation	0	
orth	Adarticulation		
entry	Adclivité	0	
orth	Adclivité		
entry	Addéphagie	0	
orth	Addéphagie		
entry	Adducteur	0	
orth	Adducteur		
entry	Adduction	0	
orth	Adduction		
entry	Adech	0	
orth	Adech		
entry	Adecte	0	
orth	Adecte		
entry	Adélide	1	
orth	Adélide		
pb	15	0025	
entry	Adeliparie	0	
orth	Adeliparie		
entry	Adelphixie	0	
orth	Adelphixie		
entry	Adémonie	0	
orth	Adémonie		
entry	Adénalgie	0	
orth	Adénalgie		
entry	Adénemphraxie	0	
orth	Adénemphraxie		
entry	Adénite	0	
orth	Adénite		
entry	Adénographie	0	
orth	Adénographie		
entry	Adenoïde	0	
orth	Adenoïde		
entry	Adenologie	0	
orth	Adenologie		
entry	Adéno-méningée	0	
orth	Adéno-méningée		
entry	Adénoncose	0	
orth	Adénoncose		
entry	Adeno-nerveuse	0	
orth	Adeno-nerveuse		
entry	Adéno-pharyngite	0	
orth	Adéno-pharyngite		
entry	Adéno-pharyngien	0	
orth	Adéno-pharyngien		
entry	Adénophthalmie	0	
orth	Adénophthalmie		
entry	Adénotomie	0	
orth	Adénotomie		
entry	Adénosclérose	0	
orth	Adénosclérose		
entry	Adénose	0	
orth	Adénose		
entry	Adéphagie	0	
orth	Adéphagie		
entry	Adepte	0	
orth	Adepte		
entry	Adhérence	0	
orth	Adhérence		
entry	Adhesif	0	
orth	Adhesif		
entry	Adhésion	0	
orth	Adhésion		
entry	Adiante	1	
orth	Adiante		
pb	16	0026	
entry	Adiapneustie	0	
orth	Adiapneustie		
entry	Adiaphore	0	
orth	Adiaphore		
entry	Adiaphorèse	0	
orth	Adiaphorèse		
entry	Adiarrhée	0	
orth	Adiarrhée		
entry	Adipeux	0	
orth	Adipeux		
entry	Adipocire	0	
orth	Adipocire		
entry	Adipsie	0	
orth	Adipsie		
entry	Adjuvant	0	
orth	Adjuvant		
entry	Adné	0	
orth	Adné		
entry	Adolescence	0	
orth	Adolescence		
entry	Adolescent	0	
orth	Adolescent		
entry	Adoucissant	0	
orth	Adoucissant		
entry	Adragant	0	
orth	Adragant		
entry	Adraganthine	0	
orth	Adraganthine		
entry	Adroit	0	
orth	Adroit		
entry	Adstriction	0	
orth	Adstriction		
entry	Adulte	0	
orth	Adulte		
entry	Adultération	0	
orth	Adultération		
entry	Adultérer	0	
orth	Adultérer		
entry	Aduste	0	
orth	Aduste		
entry	Adustion	0	
orth	Adustion		
entry	Ad-uterum	1	
orth	Ad-uterum		
pb	17	0027	
entry	Adventice	0	
orth	Adventice		
entry	Adynamico-ataxique	0	
orth	Adynamico-ataxique		
entry	Adynamie	0	
orth	Adynamie		
entry	Adynamique	0	
orth	Adynamique		
entry	Ædoiodynie	0	
orth	Ædoiodynie		
entry	Ædoiographie	0	
orth	Ædoiographie		
entry	Ædoiologie	0	
orth	Ædoiologie		
entry	Ædoiopsophie	0	
orth	Ædoiopsophie		
entry	Ædoiotomie	0	
orth	Ædoiotomie		
entry	Ædoïte	0	
orth	Ædoïte		
entry	Ædopsophie	0	
orth	Ædopsophie		
entry	Ægagropile	0	
orth	Ægagropile		
entry	Ægilops	0	
orth	Ægilops		
entry	Ægophonie	0	
orth	Ægophonie		
entry	Ægyptiac	0	
orth	Ægyptiac		
entry	Aérien	0	
orth	Aérien		
entry	Aérifère	0	
orth	Aérifère		
entry	Aérification	0	
orth	Aérification		
entry	Aériforme	0	
orth	Aériforme		
entry	Aérodynamique	0	
orth	Aérodynamique		
entry	Aérographie	0	
orth	Aérographie		
entry	Aérologie	0	
orth	Aérologie		
entry	Aéromantie	0	
orth	Aéromantie		
entry	Aérométrie	0	
orth	Aérométrie		
entry	Aérophobe	0	
orth	Aérophobe		
entry	Aérophobie	1	
orth	Aérophobie		
pb	18	0028	
entry	Aesthème	0	
orth	Aesthème		
entry	Æsthésie	0	
orth	Æsthésie		
entry	Æsthétère	0	
orth	Æsthétère		
entry	Æther	0	
orth	Æther		
entry	Æthiops	0	
orth	Æthiops		
entry	Ætiologie	0	
orth	Ætiologie		
entry	Affadissement	0	
orth	Affadissement		
entry	Affaiblissement	0	
orth	Affaiblissement		
entry	Affaissement	0	
orth	Affaissement		
entry	Affectif	0	
orth	Affectif		
entry	Affection	0	
orth	Affection		
entry	Affinité	0	
orth	Affinité		
entry	Affluence	0	
orth	Affluence		
entry	Affluent	0	
orth	Affluent		
entry	Afflux	0	
orth	Afflux		
entry	Affourrager	0	
orth	Affourrager		
entry	Affranchissement	0	
orth	Affranchissement		
entry	Affrique (Saint-)	0	
orth	Affrique (Saint-)		
entry	Affusion	0	
orth	Affusion		
entry	Agacement	0	
orth	Agacement		
entry	Agalactie	0	
orth	Agalactie		
entry	Agalaxie	0	
orth	Agalaxie		
entry	Agalloche	1	
orth	Agalloche		
pb	19	0029	
entry	Agame	0	
orth	Agame		
entry	Agamie	0	
orth	Agamie		
entry	Agaric	0	
orth	Agaric		
entry	Age	0	
orth	Age		
entry	Agédoite	0	
orth	Agédoite		
entry	Agénésie	0	
orth	Agénésie		
entry	Agent	0	
orth	Agent		
entry	Agérasie	0	
orth	Agérasie		
entry	Ageusie	0	
orth	Ageusie		
entry	Ageustie	0	
orth	Ageustie		
entry	Agglutinant	0	
orth	Agglutinant		
entry	Agglutinatif	0	
orth	Agglutinatif		
entry	Agglutination	0	
orth	Agglutination		
entry	Agglutiner	1	
orth	Agglutiner		
pb	20	0030	
entry	Aggravé	0	
orth	Aggravé		
entry	Aggraver	0	
orth	Aggraver		
entry	Agheustie	0	
orth	Agheustie		
entry	Agissant	0	
orth	Agissant		
entry	Agitation	0	
orth	Agitation		
entry	Aglactation	0	
orth	Aglactation		
entry	Aglie	0	
orth	Aglie		
entry	Aglosse	0	
orth	Aglosse		
entry	Aglossie	0	
orth	Aglossie		
entry	Aglossostomographie	0	
orth	Aglossostomographie		
entry	Agneau	0	
orth	Agneau		
entry	Agnoie	0	
orth	Agnoie		
entry	Agnus castus	0	
orth	Agnus castus		
entry	Agomphose	0	
orth	Agomphose		
entry	Agonie	0	
orth	Agonie		
entry	Agonistique	0	
orth	Agonistique		
entry	Agréablement	0	
orth	Agréablement		
entry	Agrégé	0	
orth	Agrégé		
entry	Agreste	0	
orth	Agreste		
entry	Agrie	0	
orth	Agrie		
entry	Agriothymie	1	
orth	Agriothymie		
pb	21	0031	
entry	Agripaume	0	
orth	Agripaume		
entry	Agrippa	0	
orth	Agrippa		
entry	Agrypnie	0	
orth	Agrypnie		
entry	Agrypnocoma	0	
orth	Agrypnocoma		
entry	Agyrias	0	
orth	Agyrias		
entry	Agyrte	0	
orth	Agyrte		
entry	Aide	0	
orth	Aide		
entry	Aides	0	
orth	Aides		
entry	Aidoiagraphie	0	
orth	Aidoiagraphie		
entry	Aidoialogie	0	
orth	Aidoialogie		
entry	Aidoiatomie	0	
orth	Aidoiatomie		
entry	Aidopsophie	0	
orth	Aidopsophie		
entry	Aige	0	
orth	Aige		
entry	Aigilops	0	
orth	Aigilops		
entry	Aigle	0	
orth	Aigle		
entry	Aigre	0	
orth	Aigre		
entry	Aigre-doux	0	
orth	Aigre-doux		
entry	Aigrelet	0	
orth	Aigrelet		
entry	Aigremoine	0	
orth	Aigremoine		
entry	Aigrette	0	
orth	Aigrette		
entry	Aigrette	0	
orth	Aigrette		
entry	Aigreurs	0	
orth	Aigreurs		
entry	Aigu	1	
orth	Aigu		
pb	22	0032	
entry	Aiguille	1	
orth	Aiguille		
pb	23	0033	
entry	Aiguillette (nouer l’)	0	
orth	Aiguillette (nouer l’)		
entry	Aiguillon	1	
orth	Aiguillon		
pb	24	0034	
entry	Aiguillonné	0	
orth	Aiguillonné		
entry	Ail	0	
orth	Ail		
entry	Aile	0	
orth	Aile		
entry	Ailé	0	
orth	Ailé		
entry	Aimant	0	
orth	Aimant		
entry	Aimanté	0	
orth	Aimanté		
entry	Air	0	
orth	Air		
entry	Airain	0	
orth	Airain		
entry	Airelle	0	
orth	Airelle		
entry	Airigne	0	
orth	Airigne		
entry	Aisselle	0	
orth	Aisselle		
entry	Aisthésie	0	
orth	Aisthésie		
entry	Aithemoma	0	
orth	Aithemoma		
entry	Aitiologie	0	
orth	Aitiologie		
entry	Aix	1	
orth	Aix		
pb	25	0035	
entry	Aix	0	
orth	Aix		
entry	Aix-la-Chapelle	0	
orth	Aix-la-Chapelle		
entry	Ajusture	0	
orth	Ajusture		
entry	Akène	0	
orth	Akène		
entry	Akinésie	0	
orth	Akinésie		
entry	Akologie	0	
orth	Akologie		
entry	Alach	0	
orth	Alach		
entry	Alaire	0	
orth	Alaire		
entry	Alais	0	
orth	Alais		
entry	Alaise	0	
orth	Alaise		
entry	Alaize	0	
orth	Alaize		
entry	Alalie	0	
orth	Alalie		
entry	Alambic	0	
orth	Alambic		
entry	Alaterne	0	
orth	Alaterne		
entry	Albadara	0	
orth	Albadara		
entry	Alban (Saint-)	0	
orth	Alban (Saint-)		
entry	Albara	0	
orth	Albara		
entry	Albaras	0	
orth	Albaras		
entry	Albaros	0	
orth	Albaros		
entry	Albâtre	0	
orth	Albâtre		
entry	Albinos	0	
orth	Albinos		
entry	Albose	0	
orth	Albose		
entry	Albuginé	0	
orth	Albuginé		
entry	Albugineux	0	
orth	Albugineux		
entry	Albugo	0	
orth	Albugo		
entry	Albula	0	
orth	Albula		
entry	Albumen	0	
orth	Albumen		
entry	Albumine	1	
orth	Albumine		
pb	26	0036	
entry	Albumineux	0	
orth	Albumineux		
entry	Alcahest	0	
orth	Alcahest		
entry	Alcalescence	0	
orth	Alcalescence		
entry	Alcali	0	
orth	Alcali		
entry	Alcaligène	0	
orth	Alcaligène		
entry	Alcalimètre	0	
orth	Alcalimètre		
entry	Alcalin	0	
orth	Alcalin		
entry	Alcalinité	0	
orth	Alcalinité		
entry	Alcalisation	0	
orth	Alcalisation		
entry	Alcanna, Alchanna, Alcona	0	
orth	Alcanna		
orth	Alchanna		
orth	Alcona		
entry	Alcarrazas	0	
orth	Alcarrazas		
entry	Alcée	0	
orth	Alcée		
entry	Alchimie	1	
orth	Alchimie		
pb	27	0037	
entry	Alchimille	0	
orth	Alchimille		
entry	Alcool, Alcohol	0	
orth	Alcool		
orth	Alcohol		
entry	Alcoolat	0	
orth	Alcoolat		
entry	Alcoolique	0	
orth	Alcoolique		
entry	Alcoolisation	0	
orth	Alcoolisation		
entry	Alcoolisé	0	
orth	Alcoolisé		
entry	Àlcoolomètre	0	
orth	Àlcoolomètre		
entry	Alcornoque	0	
orth	Alcornoque		
entry	Alcyon	0	
orth	Alcyon		
entry	Alectromantie	0	
orth	Alectromantie		
entry	Aléné	0	
orth	Aléné		
entry	Alèse	0	
orth	Alèse		
entry	Alet	0	
orth	Alet		
entry	Aleuromantie	0	
orth	Aleuromantie		
entry	Alexipharmaque	0	
orth	Alexipharmaque		
entry	Alexipyretique	0	
orth	Alexipyretique		
entry	Alexitère	0	
orth	Alexitère		
entry	Alèze	0	
orth	Alèze		
entry	Algalie	1	
orth	Algalie		
pb	28	0038	
entry	Algedo	0	
orth	Algedo		
entry	Algide	0	
orth	Algide		
entry	Algola	0	
orth	Algola		
entry	Algues	0	
orth	Algues		
entry	Alhagi	0	
orth	Alhagi		
entry	Alhandal	0	
orth	Alhandal		
entry	Alibile	0	
orth	Alibile		
entry	Aliboufier	0	
orth	Aliboufier		
entry	Alica	0	
orth	Alica		
entry	Alices	0	
orth	Alices		
entry	Aliénation d’esprit	0	
orth	Aliénation d’esprit		
entry	Aliénation mentale	0	
orth	Aliénation mentale		
entry	Aliéné	0	
orth	Aliéné		
entry	Aliment	0	
orth	Aliment		
entry	Alimentaire	0	
orth	Alimentaire		
entry	Alimenteux	0	
orth	Alimenteux		
entry	Aliptique	0	
orth	Aliptique		
entry	Alisier	0	
orth	Alisier		
entry	Alismacees	0	
orth	Alismacees		
entry	Alisma, Plantain d’eau	0	
orth	Alisma		
orth	Plantain d’eau		
entry	Alité	0	
orth	Alité		
entry	Aliter (s’)	0	
orth	Aliter (s’)		
entry	Alkekenge	1	
orth	Alkekenge		
pb	29	0039	
entry	Allaitement	0	
orth	Allaitement		
entry	Allaiter	0	
orth	Allaiter		
entry	Allantoïde	0	
orth	Allantoïde		
entry	Alléluia	0	
orth	Alléluia		
entry	Aller	0	
orth	Aller		
entry	Alliage	0	
orth	Alliage		
entry	Alliaire	0	
orth	Alliaire		
entry	Alliance	0	
orth	Alliance		
entry	Allotriophagie	0	
orth	Allotriophagie		
entry	Allure	0	
orth	Allure		
entry	Aloès	0	
orth	Aloès		
entry	Alogotrophie	0	
orth	Alogotrophie		
entry	Alonge	0	
orth	Alonge		
entry	Alongé	0	
orth	Alongé		
entry	Alongement	1	
orth	Alongement		
pb	30	0040	
entry	Alopécie	0	
orth	Alopécie		
entry	Alose	0	
orth	Alose		
entry	Alouche, Alouchier	0	
orth	Alouche		
orth	Alouchier		
entry	Alouchi	0	
orth	Alouchi		
entry	Alouette	0	
orth	Alouette		
entry	Alphénic	0	
orth	Alphénic		
entry	Alphitidon	0	
orth	Alphitidon		
entry	Alphitomancie	0	
orth	Alphitomancie		
entry	Alphonsin	0	
orth	Alphonsin		
entry	Alphos	0	
orth	Alphos		
entry	Alpiste	0	
orth	Alpiste		
entry	Alterant	0	
orth	Alterant		
entry	Altération	0	
orth	Altération		
entry	Altéré	0	
orth	Altéré		
entry	Altérer	0	
orth	Altérer		
entry	Altérer (s’)	0	
orth	Altérer (s’)		
entry	Alternati-penné	0	
orth	Alternati-penné		
entry	Alterne	0	
orth	Alterne		
entry	Althæa	0	
orth	Althæa		
entry	Aludel	0	
orth	Aludel		
entry	Aluine	0	
orth	Aluine		
entry	Alumine	0	
orth	Alumine		
entry	Aluminium	1	
orth	Aluminium		
pb	31	0041	
entry	Alun	0	
orth	Alun		
entry	Alunation	0	
orth	Alunation		
entry	Aluner	0	
orth	Aluner		
entry	Alvéolaire	0	
orth	Alvéolaire		
entry	Alvéole	0	
orth	Alvéole		
entry	Alvéolé	0	
orth	Alvéolé		
entry	Alvéolo-labial	0	
orth	Alvéolo-labial		
entry	Alvin	0	
orth	Alvin		
entry	Alypon	0	
orth	Alypon		
entry	Alysme	0	
orth	Alysme		
entry	Amadou	0	
orth	Amadou		
entry	Amadouvier	0	
orth	Amadouvier		
entry	Amaigrissement	0	
orth	Amaigrissement		
entry	Amalgamation	0	
orth	Amalgamation		
entry	Amalgame	0	
orth	Amalgame		
entry	Amalgamer	0	
orth	Amalgamer		
entry	Amalthée	0	
orth	Amalthée		
entry	Amand (Saint-)	0	
orth	Amand (Saint-)		
entry	Amande	1	
orth	Amande		
pb	32	0042	
entry	Amande	0	
orth	Amande		
entry	Amandé	0	
orth	Amandé		
entry	Amandier	0	
orth	Amandier		
entry	Amanite	0	
orth	Amanite		
entry	Amaranthacées	0	
orth	Amaranthacées		
entry	Amarinite	0	
orth	Amarinite		
entry	Amaurose	0	
orth	Amaurose		
entry	Ambi	0	
orth	Ambi		
entry	Ambiant	0	
orth	Ambiant		
entry	Ambidextre	0	
orth	Ambidextre		
entry	Amble	1	
orth	Amble		
pb	33	0043	
entry	Amblome	0	
orth	Amblome		
entry	Amblose	0	
orth	Amblose		
entry	Amblotique	0	
orth	Amblotique		
entry	Amblyhaphie	0	
orth	Amblyhaphie		
entry	Amblyopie	0	
orth	Amblyopie		
entry	Ambonay	0	
orth	Ambonay		
entry	Ambre	0	
orth	Ambre		
entry	Ambré	0	
orth	Ambré		
entry	Ambréate	0	
orth	Ambréate		
entry	Ambréine	0	
orth	Ambréine		
entry	Ambréique	0	
orth	Ambréique		
entry	Ambrette	0	
orth	Ambrette		
entry	Ambulance	0	
orth	Ambulance		
entry	Ambulant	0	
orth	Ambulant		
entry	Amélioration	0	
orth	Amélioration		
entry	Amendement	0	
orth	Amendement		
entry	Aménie	0	
orth	Aménie		
entry	Aménomanie	0	
orth	Aménomanie		
entry	Aménorrhée	0	
orth	Aménorrhée		
entry	Amentacé	1	
orth	Amentacé		
pb	34	0044	
entry	Amer	0	
orth	Amer		
entry	Amertume	0	
orth	Amertume		
entry	Améthodique	0	
orth	Améthodique		
entry	Amétrie	0	
orth	Amétrie		
entry	Àmiantacé	0	
orth	Àmiantacé		
entry	Amidine	0	
orth	Amidine		
entry	Amidon, Amidonite	0	
orth	Amidon		
orth	Amidonite		
entry	Ammi	0	
orth	Ammi		
entry	Ammochosie	0	
orth	Ammochosie		
entry	Ammoniac	0	
orth	Ammoniac		
entry	Ammoniacal	0	
orth	Ammoniacal		
entry	Ammoniacé	0	
orth	Ammoniacé		
entry	Ammoniaco-magnésien	0	
orth	Ammoniaco-magnésien		
entry	Ammoniaque (gomme)	0	
orth	Ammoniaque (gomme)		
entry	Ammoniaque	0	
orth	Ammoniaque		
entry	Ammoniate	0	
orth	Ammoniate		
entry	Ammonio-chlorure	0	
orth	Ammonio-chlorure		
entry	Ammonium	0	
orth	Ammonium		
entry	Ammoniure	0	
orth	Ammoniure		
entry	Amnésie	0	
orth	Amnésie		
entry	Amnios	0	
orth	Amnios		
entry	Amniotate	1	
orth	Amniotate		
pb	35	0045	
entry	Amniotique	0	
orth	Amniotique		
entry	Amnique	0	
orth	Amnique		
entry	Amome	0	
orth	Amome		
entry	Amomées	0	
orth	Amomées		
entry	Amorphe	0	
orth	Amorphe		
entry	Amorphie	0	
orth	Amorphie		
entry	Amouillant	0	
orth	Amouillant		
entry	Amouille	0	
orth	Amouille		
entry	Amour	0	
orth	Amour		
entry	Amourettes	0	
orth	Amourettes		
entry	Ampharistère	0	
orth	Ampharistère		
entry	Amphémérine	0	
orth	Amphémérine		
entry	Amphiarthrose	0	
orth	Amphiarthrose		
entry	Amphiblestroïde	0	
orth	Amphiblestroïde		
entry	Amphimérine	0	
orth	Amphimérine		
entry	Amphisarque	0	
orth	Amphisarque		
entry	Amphismèle	0	
orth	Amphismèle		
entry	Amphismile	0	
orth	Amphismile		
entry	Amphistome	0	
orth	Amphistome		
entry	Amphitrope	0	
orth	Amphitrope		
entry	Amphore	0	
orth	Amphore		
entry	Amplexatile	0	
orth	Amplexatile		
entry	Amplexicaule	0	
orth	Amplexicaule		
entry	Amplitude	0	
orth	Amplitude		
