object			
volume	37020d_index	Littré-Robin (1865-1873)	1873
orth	Abnorm	deu	
foreign	anormal	fra	
entry	Abschälen	0	
orth	Abschälen	deu	
foreign	abraison	fra	
foreign	décortication	fra	
entry	Abschäumung	0	
orth	Abschäumung	deu	
foreign	despumation	fra	
entry	Abschuppung	0	
orth	Abschuppung	deu	
foreign	desquamation	fra	
entry	Absenker	0	
orth	Absenker	deu	
foreign	marcotte	fra	
entry	Absondern	0	
orth	Absondern	deu	
foreign	sécréter	fra	
entry	Absonderung	0	
orth	Absonderung	deu	
foreign	sécrétion	fra	
entry	Abstossen (die Milchzähne)	0	
orth	Abstossen (die Milchzähne)	deu	
foreign	perdre les dents de lait	fra	
entry	Absud	0	
orth	Absud	deu	
foreign	apozème	fra	
foreign	décoction	fra	
entry	Abtreibend	0	
orth	Abtreibend	deu	
foreign	abortif	fra	
entry	Abtödtung	0	
orth	Abtödtung	deu	
foreign	mortification	fra	
entry	Abtritt	0	
orth	Abtritt	deu	
foreign	latrines	fra	
entry	Abwechselnd	0	
orth	Abwechselnd	deu	
foreign	alterne	fra	
entry	Abweichung	0	
orth	Abweichung	deu	
foreign	aberration	fra	
foreign	déclination	fra	
foreign	déviation	fra	
entry	Abwurf	0	
orth	Abwurf	deu	
foreign	extravasation	fra	
entry	Abzapfen	0	
orth	Abzapfen	deu	
foreign	paracentèse	fra	
entry	Abzehrung	0	
orth	Abzehrung	deu	
foreign	tabes	fra	
entry	Abziehend	0	
orth	Abziehend	deu	
foreign	abducteur	fra	
entry	Achat	0	
orth	Achat	deu	
foreign	agate	fra	
entry	Achilles-Sehne	0	
orth	Achilles-Sehne	deu	
foreign	tendon d’Achille	fra	
entry	Achse	0	
orth	Achse	deu	
foreign	axe	fra	
entry	Achsel	0	
orth	Achsel	deu	
foreign	aisselle	fra	
entry	Achselader	0	
orth	Achselader	deu	
foreign	vaisseau axillaire	fra	
entry	Achselbein	0	
orth	Achselbein	deu	
foreign	omoplate	fra	
foreign	clavicule	fra	
entry	Achselhöhle	0	
orth	Achselhöhle	deu	
foreign	creux axillaire	fra	
foreign	aisselle	fra	
entry	Achtblätterig	0	
orth	Achtblätterig	deu	
foreign	octophylle	fra	
entry	Achtmännerig	0	
orth	Achtmännerig	deu	
foreign	octandre	fra	
entry	Achtweiberig	0	
orth	Achtweiberig	deu	
foreign	octogyne	fra	
entry	Ackersalat	0	
orth	Ackersalat	deu	
foreign	mâche	fra	
entry	Ackerweiderich	0	
orth	Ackerweiderich	deu	
foreign	salicaire	fra	
entry	Adamsapfel	0	
orth	Adamsapfel	deu	
foreign	pommed’Adam	fra	
entry	Ader	0	
orth	Ader	deu	
foreign	veine	fra	
entry	Ader, die goldene	0	
orth	Ader, die goldene	deu	
foreign	hémorrhoïde	fra	
entry	Aederchen	0	
orth	Aederchen	deu	
foreign	vénule	fra	
entry	Adergeflecht	0	
orth	Adergeflecht	deu	
foreign	réseau vasculaire	fra	
entry	Adergeschwulst	0	
orth	Adergeschwulst	deu	
foreign	tumeur variqueuse	fra	
entry	Aderig	0	
orth	Aderig	deu	
foreign	veineux	fra	
entry	Aderkropf	0	
orth	Aderkropf	deu	
foreign	varice	fra	
entry	Aderlass	0	
orth	Aderlass	deu	
foreign	saignée	fra	
foreign	phlébotomie	fra	
entry	Aderlassbecken	0	
orth	Aderlassbecken	deu	
foreign	poêlette	fra	
entry	Aderlasseisen	0	
orth	Aderlasseisen	deu	
foreign	lancette	fra	
entry	Aderlasser	0	
orth	Aderlasser	deu	
foreign	phlébotomiste	fra	
entry	Aderlasschnäpper	0	
orth	Aderlasschnäpper	deu	
foreign	phlébotome	fra	
entry	Aderlaszeug	0	
orth	Aderlaszeug	deu	
entry	Aderpresse	0	
orth	Aderpresse	deu	
foreign	tourniquet	fra	
entry	Aderschlag	0	
orth	Aderschlag	deu	
foreign	pouls	fra	
entry	Adlerstein	0	
orth	Adlerstein	deu	
foreign	aétite	fra	
entry	Aehre	0	
orth	Aehre	deu	
foreign	épi	fra	
entry	After	0	
orth	After	deu	
foreign	anus	fra	
entry	Afterblutung	0	
orth	Afterblutung	deu	
foreign	proctorrhagie	fra	
entry	Afterentzündung	0	
orth	Afterentzündung	deu	
foreign	proctite	fra	
foreign	rectite	fra	
entry	Afterbruch	0	
orth	Afterbruch	deu	
foreign	proctocèle	fra	
entry	Afterbürde	0	
orth	Afterbürde	deu	
foreign	secondine	fra	
entry	Afterdolde	0	
orth	Afterdolde	deu	
foreign	cyme	fra	
entry	Afterfrucht	0	
orth	Afterfrucht	deu	
foreign	paracarpe	fra	
entry	Aftergelenk	0	
orth	Aftergelenk	deu	
foreign	néarthrose	fra	
entry	Aftergriffel	0	
orth	Aftergriffel	deu	
foreign	parastyle	fra	
entry	Afterhaut	0	
orth	Afterhaut	deu	
foreign	pseudomembrane	fra	
entry	Afterkleie	0	
orth	Afterkleie	deu	
foreign	recoupe	fra	
entry	Afterkronenblatt	0	
orth	Afterkronenblatt	deu	
foreign	parapétale	fra	
entry	Afterschmerz	0	
orth	Afterschmerz	deu	
foreign	proctalgie	fra	
entry	Aftervorfall	0	
orth	Aftervorfall	deu	
foreign	exance	fra	
foreign	proctoptose	fra	
entry	Aglee	0	
orth	Aglee	deu	
foreign	ancolie	fra	
entry	Ahorn	0	
orth	Ahorn	deu	
foreign	érable	fra	
entry	Akazie	0	
orth	Akazie	deu	
foreign	acacia	fra	
entry	Akut	0	
orth	Akut	deu	
foreign	aigu	fra	
entry	Alabaster	0	
orth	Alabaster	deu	
foreign	albâtre	fra	
entry	Alantkampher	0	
orth	Alantkampher	deu	
foreign	hélénol	fra	
entry	Alaun	0	
orth	Alaun	deu	
foreign	alun	fra	
entry	Alaunerde	0	
orth	Alaunerde	deu	
foreign	alumine	fra	
entry	Alge	0	
orth	Alge	deu	
foreign	algue	fra	
entry	Alkali	0	
orth	Alkali	deu	
foreign	alcali	fra	
entry	Alpdrücken	0	
orth	Alpdrücken	deu	
foreign	cauchemar	fra	
foreign	incube	fra	
foreign	succube	fra	
entry	Alraun	0	
orth	Alraun	deu	
foreign	mandragore	fra	
entry	Alter	0	
orth	Alter	deu	
foreign	âge	fra	
entry	Alterirend	0	
orth	Alterirend	deu	
foreign	altérant	fra	
entry	Amber	0	
orth	Amber	deu	
foreign	ambre	fra	
entry	Ambos	0	
orth	Ambos	deu	
foreign	enclume	fra	
entry	Ameise	0	
orth	Ameise	deu	
foreign	fourmi	fra	
entry	Ameisensäure	0	
orth	Ameisensäure	deu	
foreign	acide formique	fra	
entry	Ameisenwarze	0	
orth	Ameisenwarze	deu	
foreign	myrmécie	fra	
entry	Amme	0	
orth	Amme	deu	
foreign	nourrice	fra	
entry	Ammonium	0	
orth	Ammonium	deu	
foreign	ammoniaque	fra	
entry	Anatomiker	0	
orth	Anatomiker	deu	
foreign	anatomiste	fra	
entry	Anatomisch	0	
orth	Anatomisch	deu	
foreign	anatomique	fra	
entry	Andrang	0	
orth	Andrang	deu	
foreign	congestion	fra	
entry	Aneignung	0	
orth	Aneignung	deu	
foreign	intussusception	fra	
foreign	assimilation	fra	
entry	Aneinanderfügung	0	
orth	Aneinanderfügung	deu	
foreign	coaptation	fra	
entry	Aneurysma	0	
orth	Aneurysma	deu	
foreign	anévrysme	fra	
entry	Anfächeln	0	
orth	Anfächeln	deu	
foreign	flabellation	fra	
entry	Anfall	0	
orth	Anfall	deu	
foreign	accès	fra	
foreign	attaque	fra	
entry	Anfeuchtung	0	
orth	Anfeuchtung	deu	
foreign	madéfaction	fra	
foreign	humectation	fra	
entry	Anfluss	0	
orth	Anfluss	deu	
foreign	afflux	fra	
entry	Anfüllung	0	
orth	Anfüllung	deu	
foreign	réplétion	fra	
entry	Angeboren	0	
orth	Angeboren	deu	
foreign	inné	fra	
entry	Angelhakig	0	
orth	Angelhakig	deu	
foreign	hameçonné	fra	
entry	Angewachsen	0	
orth	Angewachsen	deu	
foreign	adné	fra	
entry	Angstgefühl	0	
orth	Angstgefühl	deu	
foreign	angoisse	fra	
entry	Anhaften	0	
orth	Anhaften	deu	
foreign	happement	fra	
entry	Anhang	0	
orth	Anhang	deu	
foreign	appendice	fra	
foreign	annexe	fra	
entry	Anhänglichkeit	0	
orth	Anhänglichkeit	deu	
foreign	attachement	fra	
entry	AnimalisirungAnimalisierung	0	
orth	Animalisierung	deu	
foreign	animalisation	fra	
entry	Anklebend	0	
orth	Anklebend	deu	
foreign	agglutinatif	fra	
entry	Anlage	0	
orth	Anlage	deu	
foreign	aptitude	fra	
entry	Anlagerung	0	
orth	Anlagerung	deu	
foreign	apposition	fra	
entry	Anpflanzung	0	
orth	Anpflanzung	deu	
foreign	plantation	fra	
entry	Ansammlung	0	
orth	Ansammlung	deu	
foreign	collection	fra	
entry	Anschwellung	0	
orth	Anschwellung	deu	
foreign	enflure	fra	
foreign	gonflement	fra	
entry	Anstechen	0	
orth	Anstechen	deu	
foreign	paracentèse	fra	
entry	Ansteckend	0	
orth	Ansteckend	deu	
foreign	infectieux	fra	
entry	Ansteckung	0	
orth	Ansteckung	deu	
foreign	contagion	fra	
entry	Anstrengung	0	
orth	Anstrengung	deu	
foreign	effort	fra	
entry	Anzeichen	0	
orth	Anzeichen	deu	
foreign	symptôme	fra	
pb	1738	1752	
entry	Anzieher	0	
orth	Anzieher	deu	
foreign	adducteur	fra	
entry	Anziehung	0	
orth	Anziehung	deu	
foreign	attraction	fra	
foreign	adduction	fra	
entry	Aorta	0	
orth	Aorta	deu	
foreign	aorte	fra	
entry	Apfel	0	
orth	Apfel	deu	
foreign	pomme	fra	
entry	Apfelsäure	0	
orth	Apfelsäure	deu	
foreign	acide malique	fra	
entry	Apotheker	0	
orth	Apotheker	deu	
foreign	pharmacien	fra	
foreign	apothicaire	fra	
entry	Apothekerwaare	0	
orth	Apothekerwaare	deu	
foreign	drogue	fra	
entry	Apparat	0	
orth	Apparat	deu	
foreign	appareil	fra	
entry	Appetitlosigkeit	0	
orth	Appetitlosigkeit	deu	
foreign	anorexie	fra	
foreign	inappétence	fra	
foreign	dysorexie	fra	
entry	Aprikose	0	
orth	Aprikose	deu	
foreign	abricot	fra	
entry	Areometer	0	
orth	Areometer	deu	
foreign	aréomètre	fra	
entry	Arm	0	
orth	Arm	deu	
foreign	bras	fra	
entry	Armbein	0	
orth	Armbein	deu	
foreign	humérus	fra	
entry	Armbeuge	0	
orth	Armbeuge	deu	
entry	Armblutader	0	
orth	Armblutader	deu	
foreign	veine brachiale	fra	
entry	Armknochen	0	
orth	Armknochen	deu	
foreign	humérus	fra	
entry	Armmuskel	0	
orth	Armmuskel	deu	
foreign	muscle brachial	fra	
entry	Armpulsader	0	
orth	Armpulsader	deu	
foreign	artère brachiale	fra	
entry	Armschiene	0	
orth	Armschiene	deu	
foreign	éclisse du bras	fra	
entry	Armstuhl	0	
orth	Armstuhl	deu	
foreign	fauteuil	fra	
entry	Armenapotheke	0	
orth	Armenapotheke	deu	
foreign	dispensaire	fra	
entry	Armenspital	0	
orth	Armenspital	deu	
foreign	hospice	fra	
entry	Arsenik	0	
orth	Arsenik	deu	
foreign	arsenic	fra	
entry	Arseniksalz	0	
orth	Arseniksalz	deu	
foreign	arséniate	fra	
entry	Arseniksäure	0	
orth	Arseniksäure	deu	
foreign	acide arsénieux	fra	
foreign	acide arsénique	fra	
entry	Art	0	
orth	Art	deu	
foreign	espèce	fra	
entry	Artischocke	0	
orth	Artischocke	deu	
foreign	artichaut	fra	
entry	Arznei	0	
orth	Arznei	deu	
foreign	médicament	fra	
entry	Arzneibier	0	
orth	Arzneibier	deu	
foreign	brytolé	fra	
entry	Arzneigabe	0	
orth	Arzneigabe	deu	
foreign	dose	fra	
entry	Azneihändler	0	
orth	Azneihändler	deu	
foreign	pharmacopole	fra	
entry	Arzneikunst	0	
orth	Arzneikunst	deu	
foreign	art médical	fra	
entry	Arzneiseife	0	
orth	Arzneiseife	deu	
foreign	saponé	fra	
entry	Arzneiwein	0	
orth	Arzneiwein	deu	
foreign	œnolature	fra	
entry	Arzt	0	
orth	Arzt	deu	
foreign	médecin	fra	
entry	Asant	0	
orth	Asant	deu	
foreign	asa	fra	
entry	Asbest, Asbeste	0	
orth	Asbest	deu	
orth	Asbeste	deu	
foreign	amiante	fra	
entry	Asche	0	
orth	Asche	deu	
foreign	cendre	fra	
entry	Aestig	0	
orth	Aestig	deu	
foreign	rameux	fra	
entry	Athem	0	
orth	Athem	deu	
foreign	respiration	fra	
foreign	haleine	fra	
entry	Athemholen	0	
orth	Athemholen	deu	
foreign	dyspnée	fra	
entry	Athemmesser	0	
orth	Athemmesser	deu	
foreign	pnéomètre	fra	
entry	Athemzug	0	
orth	Athemzug	deu	
foreign	inspiration	fra	
entry	Aetheröl	0	
orth	Aetheröl	deu	
foreign	olényle	fra	
entry	Athmen	0	
orth	Athmen	deu	
foreign	respiration	fra	
entry	Athmungsgeräusch	0	
orth	Athmungsgeräusch	deu	
foreign	murmure respiratoire	fra	
entry	Attich	0	
orth	Attich	deu	
foreign	hièble	fra	
entry	Aetzend	0	
orth	Aetzend	deu	
foreign	corrosif	fra	
entry	Aetzmittel	0	
orth	Aetzmittel	deu	
foreign	caustique	fra	
foreign	corrosif	fra	
foreign	escharotique	fra	
entry	Aufblähung	0	
orth	Aufblähung	deu	
foreign	inflation	fra	
entry	Aufbrausen	0	
orth	Aufbrausen	deu	
foreign	effervescence	fra	
entry	Aufbrechen	0	
orth	Aufbrechen	deu	
foreign	aboutir	fra	
entry	Aufgedunsenheit	0	
orth	Aufgedunsenheit	deu	
foreign	bouffissure	fra	
entry	Aufgeregtheit	0	
orth	Aufgeregtheit	deu	
foreign	agitation	fra	
entry	Aufguss	0	
orth	Aufguss	deu	
foreign	infusion	fra	
entry	Aufliegen, sich	0	
orth	Aufliegen, sich	deu	
entry	Aufliegend	0	
orth	Aufliegend	deu	
foreign	incombant	fra	
entry	Auflockerung	0	
orth	Auflockerung	deu	
foreign	ramollissement	fra	
entry	Auflösbarkeit	0	
orth	Auflösbarkeit	deu	
foreign	solubilité	fra	
entry	Auflösen	0	
orth	Auflösen	deu	
foreign	fondre	fra	
entry	Auflösend	0	
orth	Auflösend	deu	
foreign	résolutif	fra	
foreign	fondant	fra	
foreign	apéritif	fra	
foreign	dissolvant	fra	
entry	Auflösung	0	
orth	Auflösung	deu	
foreign	dissolution	fra	
entry	Aufmerksamkeit	0	
orth	Aufmerksamkeit	deu	
foreign	attention	fra	
entry	Aufnehmen	0	
orth	Aufnehmen	deu	
foreign	préhension	fra	
entry	Aufrichtemuskel	0	
orth	Aufrichtemuskel	deu	
foreign	releveur	fra	
entry	Aufrichtung	0	
orth	Aufrichtung	deu	
foreign	érection	fra	
entry	Aufsaugung	0	
orth	Aufsaugung	deu	
foreign	absorption	fra	
foreign	résorption	fra	
entry	Aufschlag	0	
orth	Aufschlag	deu	
foreign	épithème	fra	
entry	Aufsieden	0	
orth	Aufsieden	deu	
foreign	ébullition	fra	
entry	Aufspringen	0	
orth	Aufspringen	deu	
foreign	déhiscence	fra	
entry	Aufsteigend	0	
orth	Aufsteigend	deu	
foreign	ascendant	fra	
entry	Aufstossen	0	
orth	Aufstossen	deu	
foreign	éructation	fra	
foreign	régurgitation	fra	
foreign	renvoi	fra	
entry	Auftreibung	0	
orth	Auftreibung	deu	
foreign	inflation	fra	
entry	Aufziehen	0	
orth	Aufziehen	deu	
foreign	attirer	fra	
entry	Augapfel	0	
orth	Augapfel	deu	
foreign	globe	fra	
foreign	pupille	fra	
entry	Augapfelhäutchen	0	
orth	Augapfelhäutchen	deu	
foreign	choroïde	fra	
entry	Augapfelvorfall	0	
orth	Augapfelvorfall	deu	
foreign	exophthalmie	fra	
entry	Auge	0	
orth	Auge	deu	
foreign	œil	fra	
entry	Augenader	0	
orth	Augenader	deu	
foreign	veine ophthalmique	fra	
foreign	artère ophthalmique	fra	
entry	Augenarzt	0	
orth	Augenarzt	deu	
foreign	oculiste	fra	
entry	Augenblutader	0	
orth	Augenblutader	deu	
foreign	veine opthalmique	fra	
entry	Augenblutunterlaufung	0	
orth	Augenblutunterlaufung	deu	
foreign	héméralopie	fra	
entry	Augenbogen	0	
orth	Augenbogen	deu	
entry	Augenbraue	0	
orth	Augenbraue	deu	
foreign	sourcil	fra	
entry	Augenbutter	0	
orth	Augenbutter	deu	
foreign	chassie	fra	
entry	Augenentzündung	0	
orth	Augenentzündung	deu	
foreign	ophthalmie	fra	
entry	Augenfell	0	
orth	Augenfell	deu	
foreign	albugo	fra	
foreign	pannus	fra	
entry	Augenfistel	0	
orth	Augenfistel	deu	
foreign	fistule de l’œil	fra	
entry	Augenfleck	0	
orth	Augenfleck	deu	
foreign	taie sur l’œil	fra	
entry	Augenfluss	0	
orth	Augenfluss	deu	
foreign	fluxion de l’œil	fra	
entry	Augengeschwür	0	
orth	Augengeschwür	deu	
foreign	ulcère de l’œil	fra	
entry	Augenhalter	0	
orth	Augenhalter	deu	
foreign	ophthalmostat	fra	
entry	Augenhöhle	0	
orth	Augenhöhle	deu	
foreign	orbite	fra	
entry	Augenkammer	0	
orth	Augenkammer	deu	
foreign	chambre de l’œil	fra	
entry	Augenknorpel	0	
orth	Augenknorpel	deu	
foreign	cartilage tarse	fra	
entry	Augenkrebs	0	
orth	Augenkrebs	deu	
foreign	scirrhophthalmie	fra	
entry	Augenlid	0	
orth	Augenlid	deu	
foreign	paupière	fra	
entry	Augenliderentzündung	0	
orth	Augenliderentzündung	deu	
foreign	blépharite	fra	
entry	Augenliderkampf	0	
orth	Augenliderkampf	deu	
foreign	blépharospasme	fra	
foreign	nystagme	fra	
entry	Augenlidknorpel	0	
orth	Augenlidknorpel	deu	
foreign	cartilages tarses	fra	
entry	Augenlidkrätze	0	
orth	Augenlidkrätze	deu	
foreign	psorophthalmie	fra	
entry	Augenlidschwiele	0	
orth	Augenlidschwiele	deu	
foreign	pachyblépharon	fra	
entry	Augenmittel	0	
orth	Augenmittel	deu	
entry	Augennagel	0	
orth	Augennagel	deu	
foreign	onglet	fra	
foreign	onys	fra	
foreign	unguis	fra	
foreign	onglée	fra	
entry	Augenrinnen	0	
orth	Augenrinnen	deu	
foreign	épiphora	fra	
entry	Augenröthe	0	
orth	Augenröthe	deu	
foreign	xérophthalmie	fra	
entry	Augensalbe	0	
orth	Augensalbe	deu	
entry	Augenschlagader	0	
orth	Augenschlagader	deu	
foreign	artère ophthalmique	fra	
entry	Augenschmerz	0	
orth	Augenschmerz	deu	
foreign	ophthalmodyme	fra	
entry	Augenskarification	0	
orth	Augenskarification	deu	
foreign	ophthalmoxyse	fra	
entry	Augenspiegel	0	
orth	Augenspiegel	deu	
foreign	ophthalmoscope	fra	
entry	Augenstaar	0	
orth	Augenstaar	deu	
foreign	cataracte	fra	
entry	Augenstern	0	
orth	Augenstern	deu	
foreign	pupille	fra	
entry	Augentriefen	0	
orth	Augentriefen	deu	
foreign	lippitude	fra	
entry	Augentripper	0	
orth	Augentripper	deu	
foreign	blennophthalmie	fra	
entry	Augentrost	0	
orth	Augentrost	deu	
foreign	euphraise	fra	
entry	Augenvorfall	0	
orth	Augenvorfall	deu	
foreign	procidence de l’œil	fra	
entry	Augenwassersucht	0	
orth	Augenwassersucht	deu	
foreign	hydrophthalmie	fra	
entry	Augenweiss	0	
orth	Augenweiss	deu	
foreign	blanc de l’œil	fra	
entry	Augenwelle	0	
orth	Augenwelle	deu	
foreign	poulie de l’œil	fra	
entry	Augenwimper	0	
orth	Augenwimper	deu	
foreign	cil	fra	
entry	Augenwinkel	0	
orth	Augenwinkel	deu	
foreign	canthus	fra	
entry	Augenwinkelgeschwulst	0	
orth	Augenwinkelgeschwulst	deu	
foreign	anchilops	fra	
entry	Augenzahn	0	
orth	Augenzahn	deu	
foreign	dent œillère	fra	
entry	Ausarbeitung	0	
orth	Ausarbeitung	deu	
foreign	élaboration	fra	
entry	Ausartung	0	
orth	Ausartung	deu	
foreign	perversion	fra	
foreign	dégénérescence	fra	
foreign	abâtardissement	fra	
entry	Ausdehnbarkeit	0	
orth	Ausdehnbarkeit	deu	
foreign	dilatabilité	fra	
entry	Ausdehnung	0	
orth	Ausdehnung	deu	
foreign	dilatation	fra	
foreign	extension	fra	
foreign	expansion	fra	
entry	Ausdrocknung	0	
orth	Ausdrocknung	deu	
foreign	dessiccation	fra	
entry	Ausdünstung	0	
orth	Ausdünstung	deu	
foreign	exhalation	fra	
foreign	transpiration	fra	
foreign	perspiration	fra	
entry	Ausfallen	0	
orth	Ausfallen	deu	
foreign	chute	fra	
entry	Ausfluss	0	
orth	Ausfluss	deu	
foreign	écoulement	fra	
entry	Ausforschung	0	
orth	Ausforschung	deu	
foreign	exploration	fra	
entry	Ausführungsgang	0	
orth	Ausführungsgang	deu	
foreign	couloir	fra	
entry	Ausläufer	0	
orth	Ausläufer	deu	
foreign	drageon	fra	
foreign	stolon	fra	
entry	Auslaugen	0	
orth	Auslaugen	deu	
foreign	élixation	fra	
entry	Auslaugung	0	
orth	Auslaugung	deu	
foreign	lixiviation	fra	
entry	Ausleerung	0	
orth	Ausleerung	deu	
foreign	déjection	fra	
foreign	déplétion	fra	
foreign	évacuation	fra	
entry	Auslöschung	0	
orth	Auslöschung	deu	
foreign	extinction	fra	
entry	Auslösen	0	
orth	Auslösen	deu	
foreign	désarticuler	fra	
entry	Auslüftung	0	
orth	Auslüftung	deu	
foreign	aérage	fra	
entry	Ausmittelnd	0	
orth	Ausmittelnd	deu	
foreign	explorateur	fra	
entry	Ausnehmung	0	
orth	Ausnehmung	deu	
foreign	évidement	fra	
entry	Ausreissen	0	
orth	Ausreissen	deu	
foreign	évulsion	fra	
entry	Aussatz	0	
orth	Aussatz	deu	
foreign	éléphantiasis	fra	
foreign	lèpre	fra	
entry	Aussätzug	0	
orth	Aussätzug	deu	
foreign	lépreux	fra	
entry	Ausschälung	0	
orth	Ausschälung	deu	
foreign	énucléation	fra	
entry	Ausscheiden	0	
orth	Ausscheiden	deu	
foreign	excréter	fra	
entry	Ausschlag	0	
orth	Ausschlag	deu	
foreign	éruption	fra	
foreign	farcin	fra	
entry	Ausschneiden	0	
orth	Ausschneiden	deu	
foreign	extirper	fra	
entry	Ausschneitelung	0	
orth	Ausschneitelung	deu	
foreign	émondation	fra	
entry	AuschnittAusschnitt	0	
orth	Ausschnitt	deu	
foreign	eccopé	fra	
entry	Ausschwären	0	
orth	Ausschwären	deu	
entry	Ausschwitzen	0	
orth	Ausschwitzen	deu	
foreign	exsudation	fra	
entry	Aussetzung	0	
orth	Aussetzung	deu	
foreign	intermission	fra	
foreign	intermittence	fra	
entry	Aussonderung	0	
orth	Aussonderung	deu	
foreign	excrétion	fra	
foreign	sécrétion	fra	
entry	Ausspannen	0	
orth	Ausspannen	deu	
foreign	distendre	fra	
entry	Ausspeien	0	
orth	Ausspeien	deu	
foreign	sputation	fra	
foreign	crachement	fra	
entry	Aussprache	0	
orth	Aussprache	deu	
foreign	prononciation	fra	
entry	Ausspritzen	0	
orth	Ausspritzen	deu	
entry	Ausspritzung	0	
orth	Ausspritzung	deu	
foreign	éjaculation	fra	
entry	Ausspucken	0	
orth	Ausspucken	deu	
foreign	crachotement	fra	
entry	Austossung	0	
orth	Austossung	deu	
foreign	élimination	fra	
entry	Ausstrahlung	0	
orth	Ausstrahlung	deu	
foreign	radiation	fra	
foreign	irradiation	fra	
entry	Aussüssung	0	
orth	Aussüssung	deu	
foreign	macération	fra	
foreign	édulcoration	fra	
entry	Auster	0	
orth	Auster	deu	
foreign	huître	fra	
entry	Austreten	0	
orth	Austreten	deu	
foreign	descendre	fra	
entry	Austretende Gefässe	0	
orth	Austretende Gefässe	deu	
foreign	vaisseaux efférents	fra	
entry	Austrocknend	0	
orth	Austrocknend	deu	
foreign	siccatif	fra	
entry	Auswachsen	0	
orth	Auswachsen	deu	
foreign	pousser	fra	
foreign	déformation	fra	
entry	Auswaschen	0	
orth	Auswaschen	deu	
foreign	étuver	fra	
entry	Auswanderung	0	
orth	Auswanderung	deu	
foreign	émigration	fra	
entry	Auswuchs	0	
orth	Auswuchs	deu	
foreign	excroissance	fra	
foreign	accrémentition	fra	
entry	Auswurf	0	
orth	Auswurf	deu	
foreign	crachat	fra	
foreign	excrément	fra	
foreign	expectoration	fra	
entry	Auszehrung	0	
orth	Auszehrung	deu	
foreign	consomption	fra	
entry	Ausziehung	0	
orth	Ausziehung	deu	
foreign	extraction	fra	
entry	Backe	0	
orth	Backe	deu	
foreign	joue	fra	
foreign	fesses	fra	
entry	Backenbein	0	
orth	Backenbein	deu	
foreign	os maxillaire supérieur	fra	
foreign	os malaire	fra	
entry	Backendrüse	0	
orth	Backendrüse	deu	
foreign	glande maxillaire	fra	
entry	Backendrüse obere	0	
orth	Backendrüse obere	deu	
foreign	parotide	fra	
entry	Backendrüse untere	0	
orth	Backendrüse untere	deu	
foreign	glande sous-maxillaire	fra	
entry	Backendrüse kleine	0	
orth	Backendrüse kleine	deu	
foreign	glande buccale	fra	
pb	1739	1753	
entry	Backenknochen	0	
orth	Backenknochen	deu	
foreign	os de la hanche	fra	
entry	Backenmuskel	0	
orth	Backenmuskel	deu	
foreign	buccinateur	fra	
entry	Backentasche	0	
orth	Backentasche	deu	
foreign	abajoue	fra	
entry	Backenzahn	0	
orth	Backenzahn	deu	
foreign	dent molaire	fra	
entry	Backstein	0	
orth	Backstein	deu	
foreign	brique	fra	
entry	Bad	0	
orth	Bad	deu	
foreign	bain	fra	
entry	Badekur	0	
orth	Badekur	deu	
foreign	cure par les bains	fra	
entry	Badestube	0	
orth	Badestube	deu	
foreign	étuve	fra	
entry	Badewanne	0	
orth	Badewanne	deu	
