object			
volume	37019	Capuron	1806
orth	Tartrite de potasse et de fer		
entry	Tartrite de potasse	0	
orth	Tartrite de potasse		
entry	Tartrite de potasse antimonié	0	
orth	Tartrite de potasse antimonié		
entry	Tartrite de potasse et de soude	0	
orth	Tartrite de potasse et de soude		
entry	Vinaigre distillé	0	
orth	Vinaigre distillé		
entry	Vinaigre radical	0	
orth	Vinaigre radical		
entry	Zinc	0	
orth	Zinc		
pb	458		
entry	Absinthe	0	
orth	Absinthe		
foreign	artemtsia absinthium L.	lat	
entry	Adragant	0	
orth	Adragant		
foreign	Vastragalus tragacantha L.	lat	
entry	Agaric de chêne, amadou	0	
orth	Agaric de chêne		
orth	amadou		
foreign	boleius Igniarius L.	lat	
entry	Agaric purgatif	0	
orth	Agaric purgatif		
foreign	bolet Iislaricis L.	lat	
entry	Ammoniacum, gomme ammoniaqne	0	
orth	Ammoniacum		
orth	gomme ammoniaqne		
entry	Ail	0	
orth	Ail		
foreign	allium sativum L.	lat	
entry	Alléluia, oxalide, pain a coucou, herbe du bœuf, trèfle aigre	0	
orth	Alléluia		
orth	oxalide		
orth	pain a coucou		
orth	herbe du bœuf		
orth	trèfle aigre		
foreign	oxalis acetosella L.	lat	
entry	Aloèssoccotrin	0	
orth	Aloèssoccotrin		
foreign	Valoès perfoliata	lat	
foreign	Valoès spicata L.	lat	
entry	Amandeg	0	
orth	Amandeg		
foreign	arnygdalus communis L.	lat	
entry	Angélique cultivée	0	
orth	Angélique cultivée		
foreign	angelica archangelica L.	lat	
entry	Angélique ofiicinale	0	
orth	Angélique ofiicinale		
foreign	angelica archangelica L.	lat	
entry	Angusture	0	
orth	Angusture		
foreign	magnolia plumieri	lat	
entry	Anis	0	
orth	Anis		
foreign	pimpiticlla anisum L.	lat	
entry	Arbousier, busserole, raisin d’ours	0	
orth	Arbousier		
orth	busserole		
orth	raisin d’ours		
foreign	arbutus	lat	
foreign	uva ursi L.	lat	
entry	Armoise	0	
orth	Armoise		
foreign	artemisia vulgaris L.	lat	
entry	Arnica	0	
orth	Arnica		
foreign	arnica montana L.	lat	
entry	Asperge culrivée	0	
orth	Asperge culrivée		
foreign	asparagus ofificinalis L.	lat	
entry	Aunée officinale	0	
orth	Aunée officinale		
foreign	inula heleniunt L.	lat	
entry	Assa faetida	0	
orth	Assa faetida		
foreign	ferula assa fœtida L.	lat	
entry	Avoine	0	
orth	Avoine		
foreign	avena sativa L.	lat	
entry	Bailiane, anis étoile	0	
orth	Bailiane		
orth	anis étoile		
foreign	illicium anisatum L.	lat	
entry	Balaustes	0	
orth	Balaustes		
clique	grenadier		
entry	Barbe de bouc	0	
orth	Barbe de bouc		
foreign	tragopogon pratense L.	lat	
entry	Bardane	0	
orth	Bardane		
foreign	arctium lappa L.	lat	
entry	Basilic	0	
orth	Basilic		
foreign	ocymum basilicurn L.	lat	
entry	Baume du Pérou	0	
orth	Baume du Pérou		
foreign	MyroxiloIL perniferum L.	lat	
pb	459		
entry	Baume de Tolu	0	
orth	Baume de Tolu		
foreign	Toluifera balsamum L.	lat	
entry	Benjüin	0	
orth	Benjüin		
foreign	laurus benzoin L.	lat	
foreign	Slyrax benzoin	lat	
entry	Bdellium	0	
orth	Bdellium		
entry	Bec de grue musqué	0	
orth	Bec de grue musqué		
foreign	geranium moscatum L.	lat	
entry	Belladone	0	
orth	Belladone		
foreign	atropa belladona L.	lat	
entry	Benoite commune	0	
orth	Benoite commune		
foreign	geunI urbanurn L.	lat	
entry	Benoite, herbe de Benoit	0	
orth	Benoite		
orth	herbe de Benoit		
foreign	geum urbanum	lat	
entry	Bétoine	0	
orth	Bétoine		
foreign	betonica officinalis L.	lat	
entry	Bistorte	0	
orth	Bistorte		
foreign	polygoniirn bistorta L.	lat	
entry	Bois de Rhodes, Bois de roses, Bois de Chypre	0	
orth	Bois de Rhodes		
orth	Bois de roses		
orth	Bois de Chypre		
foreign	genista Canariensis L.	lat	
entry	Bois saint	0	
orth	Bois saint		
clique	Gayac		
entry	Bois néphrétique	0	
orth	Bois néphrétique		
foreign	guilatulùia rnoringa L.	lat	
entry	Bouillon blanc	0	
orth	Bouillon blanc		
foreign	verbascum thapsus L.	lat	
entry	Bugrane, nrrête-bœuf	0	
orth	Bugrane		
orth	nrrête-bœuf		
foreign	ononis , spiiIosa L.	lat	
entry	Cabaret	0	
orth	Cabaret		
foreign	asarum Europaeum L.	lat	
entry	Cacao	0	
orth	Cacao		
foreign	theobromu cacao L.	lat	
entry	Cachou	0	
orth	Cachou		
foreign	mtmosa catechu L.	lat	
foreign	Vareca catechu L.	lat	
entry	Café	0	
orth	Café		
foreign	coffea arabica L.	lat	
entry	Cajeput	0	
orth	Cajeput		
foreign	melaleuca leucodendra L.	lat	
entry	Calamcnt de ruontagne	0	
orth	Calamcnt de ruontagne		
foreign	melissa calamintha L.	lat	
clique	Mélisse		
entry	Calamus aromatique	0	
orth	Calamus aromatique		
foreign	acorus calamus L.	lat	
entry	Caméléon blanc	0	
orth	Caméléon blanc		
foreign	acarlina acalatis L.	lat	
entry	Camomille	0	
orth	Camomille		
foreign	rnatncaria chamo'r milla L.	lat	
entry	Camomille roiriaine	0	
orth	Camomille roiriaine		
foreign	diItemis nobUis L.	lat	
entry	Cannelle	0	
orth	Cannelle		
foreign	laurus cinnamomum L.	lat	
entry	Cardinale bleue	0	
orth	Cardinale bleue		
foreign	lobelia sypliiliiica L.	lat	
entry	Cardamine, cresson élégant	0	
orth	Cardamine		
orth	cresson élégant		
foreign	cardamine pratensis	lat	
entry	Carvi	0	
orth	Carvi		
foreign	caru-m carvi	lat	
entry	Cascarille	0	
orth	Cascarille		
foreign	croton cascarilla L.	lat	
foreign	clutia elntlieria L.	lat	
entry	Casse pierre, parietaire	0	
orth	Casse pierre		
orth	parietaire		
foreign	parietaria ofificinalis L.	lat	
entry	CaSse	0	
orth	CaSse		
foreign	cassia fistula L.	lat	
entry	Catapuce	0	
orth	Catapuce		
foreign	euphorbia lathyris L.	lat	
entry	Cerfeuil cultivé	0	
orth	Cerfeuil cultivé		
foreign	scandix cerefolium L.	lat	
entry	Cerise-poison	0	
orth	Cerise-poison		
clique	Belladone		
entry	Cévadille	0	
orth	Cévadille		
foreign	veratrum sabadilla	lat	
entry	Charnœpitys	0	
orth	Charnœpitys		
foreign	teucrium chamœpitys L.	lat	
pb	460		
entry	Chamédrys, petit chêne	0	
orth	Chamédrys		
orth	petit chêne		
foreign	teucrium chamœdris L.	lat	
entry	Chardon bénit	0	
orth	Chardon bénit		
foreign	cendaurea benedicta L.	lat	
entry	Chicorée sauvage	0	
orth	Chicorée sauvage		
foreign	cichoriumintybiis L.	lat	
entry	Chiendeut	0	
orth	Chiendeut		
foreign	triticum repens L.	lat	
entry	Ciguë des jardins	0	
orth	Ciguë des jardins		
foreign	conium Tnaculatum L.	lat	
entry	Cina, barbotine, sementine	0	
orth	Cina		
orth	barbotine		
orth	sementine		
foreign	artemisia santonicùm L.	lat	
foreign	Artemisia contra L.	lat	
entry	Citron	0	
orth	Citron		
foreign	citrus medica L.	lat	
entry	Citronnelle, petite absinthe	0	
orth	Citronnelle		
orth	petite absinthe		
foreign	artemisiapontica L.	lat	
entry	Cochléaria	0	
orth	Cochléaria		
foreign	cochlearia officinalis L.	lat	
entry	Colchique automnal	0	
orth	Colchique automnal		
foreign	colchicum autamnale L.	lat	
entry	Coing	0	
orth	Coing		
foreign	pyrus cydonia L.	lat	
entry	Colombo, calumba, columbo	0	
orth	Colombo		
orth	calumba		
orth	columbo		
entry	Coloquinte	0	
orth	Coloquinte		
foreign	cucumis colocynthis L.	lat	
entry	Consoude officinale, grande consoude	0	
orth	Consoude officinale		
orth	grande consoude		
foreign	symphitum officinale L.	lat	
entry	Conyza	0	
orth	Conyza		
foreign	iiIula dysenterica L.	lat	
entry	Coquelicot	0	
orth	Coquelicot		
foreign	papaver rhœas L.	lat	
entry	Coques du Levant	0	
orth	Coques du Levant		
foreign	menispermum cocculus L.	lat	
entry	Coqueret, coquerelle, alkékenge	0	
orth	Coqueret		
orth	coquerelle		
orth	alkékenge		
foreign	physalis alkekengi L.	lat	
entry	Coriandre	0	
orth	Coriandre		
foreign	coriatIdiurn sativum L.	lat	
entry	Cresson alénois	0	
orth	Cresson alénois		
foreign	lepidium satiVuln L.	lat	
entry	Cresson de fontaine	0	
orth	Cresson de fontaine		
foreign	sisymbrium nasturtium L.	lat	
entry	Cumin	0	
orth	Cumin		
foreign	cuminum cyminum	lat	
entry	Datte	0	
orth	Datte		
foreign	phœnix dactilifera L.	lat	
entry	Deut-de-lion	0	
orth	Deut-de-lion		
clique	Pissenlit		
entry	Dictame de Crête	0	
orth	Dictame de Crête		
foreign	origanum dictamnus L.	lat	
entry	Digitale pourprée	0	
orth	Digitale pourprée		
foreign	digitalispurpurea L.	lat	
entry	Dompte-venin	0	
orth	Dompte-venin		
foreign	asclepias vincetoxicum L.	lat	
entry	Douce-amère	0	
orth	Douce-amère		
foreign	solanum dulcamara L.	lat	
entry	Ecorce de Winter	0	
orth	Ecorce de Winter		
foreign	IVinterania canella L.	lat	
entry	Epine-vinette	0	
orth	Epine-vinette		
foreign	berberis vulgaris L.	lat	
entry	Enphorbe	0	
orth	Enphorbe		
foreign	euphorbia officinarum L.	lat	
foreign	euphorbia antiquorum L.	lat	
entry	Ecorce du Pérnu	0	
orth	Ecorce du Pérnu		
clique	Quinquina		
entry	Endormie, pornme épineuse	0	
orth	Endormie		
orth	pornme épineuse		
foreign	datura stramonium L.	lat	
entry	Peneuil	0	
orth	Peneuil		
foreign	anethum fœniculum L.	lat	
entry	Fenugrec	0	
orth	Fenugrec		
foreign	trdgonellaJænumgrœ» cum\t	lat	
entry	Fiel de terre	1	
orth	Fiel de terre		
foreign	fumaria officinalis L.	lat	
pb	461		
clique	Fumeterre		
entry	Figuier	0	
orth	Figuier		
foreign	ficus caàca L.	lat	
entry	Framboise	0	
orth	Framboise		
foreign	vaccinium vitis idœa L.	lat	
entry	Fougère mâle	0	
orth	Fougère mâle		
foreign	polypodium filix mas L.	lat	
entry	Fraisier ordinaire	0	
orth	Fraisier ordinaire		
foreign	fragariavesca L.	lat	
entry	Framboisiér ordinaire	0	
orth	Framboisiér ordinaire		
foreign	rubus idaeus L.	lat	
entry	Fumeterre	0	
orth	Fumeterre		
foreign	fumaria officinalis L.	lat	
entry	Gards-robe	0	
orth	Gards-robe		
foreign	santolina chamœcyparissus L.	lat	
entry	Garou	0	
orth	Garou		
foreign	daphne mezercum L.	lat	
entry	Gayac	0	
orth	Gayac		
foreign	guajacum officinale L.	lat	
entry	Gentiane jaune	0	
orth	Gentiane jaune		
foreign	gendana lutea L.	lat	
entry	Gérofle, Girofle (clou de)	0	
orth	Gérofle		
orth	Girofle (clou de)		
foreign	caryophyllus aromaticus L.	lat	
entry	Gingembre	0	
orth	Gingembre		
foreign	ammomum zingiber	lat	
entry	Genièvre	0	
orth	Genièvre		
foreign	juniperus communis L.	lat	
entry	Gland	0	
orth	Gland		
foreign	quercus robur L.	lat	
entry	Gomme adragant	0	
orth	Gomme adragant		
foreign	astragalus tragacantha L.	lat	
entry	Galbanum	0	
orth	Galbanum		
foreign	bubon galbanum L.	lat	
entry	Gomme arabique	0	
orth	Gomme arabique		
foreign	mirnosa niloiica L.	lat	
entry	Gomme Sénégal	0	
orth	Gomme Sénégal		
foreign	mîmosa Senegal L.	lat	
entry	Guimauve officinale	0	
orth	Guimauve officinale		
foreign	althœa ofificinalis L.	lat	
entry	Gutte (gomme)	0	
orth	Gutte (gomme)		
foreign	gamtogia gutta L.	lat	
foreign	guttœfiera vera	lat	
entry	GlOuteron	0	
orth	GlOuteron		
foreign	arctimu lappa L.	lat	
entry	Graines de paradis, manguette	0	
orth	Graines de paradis		
orth	manguette		
foreign	amomuni granum paradisif	lat	
entry	Grande valériane	0	
orth	Grande valériane		
foreign	valeriana phu L.	lat	
entry	Gratiole officinale	0	
orth	Gratiole officinale		
foreign	gratiola officinalis	lat	
entry	Grenadier	0	
orth	Grenadier		
foreign	punica granatum L.	lat	
entry	Groseiliier rouge commun	0	
orth	Groseiliier rouge commun		
foreign	ribes rubrum L.	lat	
entry	Hellébore blanc	0	
orth	Hellébore blanc		
foreign	veratrum album L.	lat	
entry	Hellébore noir	0	
orth	Hellébore noir		
foreign	helleborus niger L.	lat	
entry	Helminthocorton, mousse de Corse	0	
orth	Helminthocorton		
orth	mousse de Corse		
foreign	fucus helminthocorton	lat	
entry	Hennebanne	0	
orth	Hennebanne		
clique	Jusquiame		
entry	Herbe aux teigneux	0	
orth	Herbe aux teigneux		
foreign	tussilago petasites L.	lat	
entry	Herbe a éternuer	0	
orth	Herbe a éternuer		
foreign	achillea ptar-mica L.	lat	
entry	Herbe de St-Roch	0	
orth	Herbe de St-Roch		
clique	Conyza		
entry	Herbe à la poudre de Chypre, graine de musc	0	
orth	Herbe à la poudre de Chypre		
orth	graine de musc		
foreign	hibiscus abelmoschus L.	lat	
entry	Herbe à pauvre homme	0	
orth	Herbe à pauvre homme		
foreign	gratiola officinalis L.	lat	
entry	Herbe aux écus, nummulaire	1	
orth	Herbe aux écus		
orth	nummulaire		
foreign	nummularia L.	lat	
pb	462		
entry	Herbe aux gueux, viorne, vigne blanche	0	
orth	Herbe aux gueux		
orth	viorne		
orth	vigne blanche		
foreign	clematis vitalba L.	lat	
entry	Herbe aux poux, herbe à la pituite	0	
orth	Herbe aux poux		
orth	herbe à la pituite		
clique	staphysaigre		
entry	Herbe aux puces, psyllion	0	
orth	Herbe aux puces		
orth	psyllion		
foreign	plantago psyllium L.	lat	
entry	Herbe airvent, pnlsatille, coquelourde	0	
orth	Herbe airvent		
orth	pnlsatille		
orth	coquelourde		
foreign	anemone pulsatilla L.	lat	
entry	Herbe aux hémorroïdes	0	
orth	Herbe aux hémorroïdes		
foreign	raniVnculusficaria L.	lat	
entry	Herbe aux cueillers	0	
orth	Herbe aux cueillers		
clique	Cochléaria		
entry	Herbe a Robert	0	
orth	Herbe a Robert		
foreign	geranium Roberdanum L.	lat	
entry	Hermodates, iris	0	
orth	Hermodates		
orth	iris		
foreign	tuberosa* L.	lat	
entry	Huile d’amande	0	
orth	Huile d’amande		
foreign	amygdalus commu7lis L.	lat	
entry	Huile d’anis	0	
orth	Huile d’anis		
foreign	pimfitnelda misum L.	lat	
entry	Huile de cannelle	0	
orth	Huile de cannelle		
foreign	laurus cinnamom um L.	lat	
entry	Huile de gérofle	0	
orth	Huile de gérofle		
foreign	caryophyllus aromaticus L.	lat	
entry	Huile de lavande	0	
orth	Huile de lavande		
foreign	lavendula spica L.	lat	
entry	Huile d’olive	0	
orth	Huile d’olive		
foreign	olea Europea L.	lat	
entry	Huile de ricin, Huile de palma christi	0	
orth	Huile de ricin		
orth	Huile de palma christi		
foreign	ricinus comrnunis L.	lat	
entry	Hyssope	0	
orth	Hyssope		
foreign	hyssopus officinalis L.	lat	
entry	Tinpératoire	0	
orth	Tinpératoire		
foreign	imperatorium ostruthium L.	lat	
entry	ïpécacuanha	0	
orth	ïpécacuanha		
foreign	psycotria emetioa	lat	
foreign	calicocea ipecacuanha	lat	
entry	Jalap	0	
orth	Jalap		
foreign	convolvulus jalapa L.	lat	
entry	Jujube	0	
orth	Jujube		
foreign	rhamnus zizyphus L.	lat	
entry	Jusquiame noire	0	
orth	Jusquiame noire		
foreign	hyosciamus niger L.	lat	
entry	Kino	0	
orth	Kino		
entry	Lnngue de chien, cynoglosse	0	
orth	Lnngue de chien		
orth	cynoglosse		
foreign	cynoglossum ofificinale L.	lat	
entry	Lauréole	0	
orth	Lauréole		
foreign	daphne laureola L.	lat	
entry	Lavande	0	
orth	Lavande		
foreign	lavandula spica L.	lat	
entry	Lichen d’Isïande	0	
orth	Lichen d’Isïande		
foreign	Uchen islandicus L.	lat	
entry	Lierre terrestre	0	
orth	Lierre terrestre		
foreign	glecoma hedera terrestris L.	lat	
entry	Lirnon	0	
orth	Lirnon		
foreign	citrus rnedica limon L.	lat	
entry	Lin	0	
orth	Lin		
foreign	linum usitatissimum L.	lat	
entry	Livèche	0	
orth	Livèche		
foreign	ligusticurn levisticurn L.	lat	
entry	Lyçopodc, pied de-loup	0	
orth	Lyçopodc		
orth	pied de-loup		
foreign	lycopodium clavatum Lin.	lat	
entry	Macis	0	
orth	Macis		
foreign	myristica L.	lat	
entry	Manne	0	
orth	Manne		
foreign	fraxinus ornus L.	lat	
foreign	fraxinus ortundIfolia Lin.	lat	
foreign	pinus larix L.	lat	
entry	Maroute	0	
orth	Maroute		
foreign	anthemis cotula Lin.	lat	
entry	Marrube	0	
orth	Marrube		
foreign	marrubiurn vulgareLt	lat	
entry	Matricaire	1	
orth	Matricaire		
foreign	matricarium parthenium L.	lat	
pb	463		
entry	Mauve à feuilles rondes	0	
orth	Mauve à feuilles rondes		
foreign	malva rotundifolia L.	lat	
entry	Mauve sauvage	0	
orth	Mauve sauvage		
foreign	malva sylvestris L.	lat	
entry	Méchoacan	0	
orth	Méchoacan		
foreign	convolvulus mechoacanna L.	lat	
entry	Mélisse, citronnelle	0	
orth	Mélisse		
orth	citronnelle		
foreign	melissa ofificinalis L.	lat	
entry	Menthe-coq, grand baume, coqdes-jardins	0	
orth	Menthe-coq		
orth	grand baume		
orth	coqdes-jardins		
foreign	balsamita L.	lat	
entry	Meuthe crepue	0	
orth	Meuthe crepue		
foreign	menthacrispaïa	lat	
entry	Menthe poivrée	0	
orth	Menthe poivrée		
foreign	mentha piperita L.	lat	
entry	Mezéréon, bois gentil, trontanel, thymelée	0	
orth	Mezéréon		
orth	bois gentil		
orth	trontanel		
orth	thymelée		
clique	Garou		
entry	Miel	0	
orth	Miel		
foreign	rnelliflua L.	lat	
entry	Millefeuille	0	
orth	Millefeuille		
foreign	achilleamillefiolium L.	lat	
entry	Mille-pertuis	0	
orth	Mille-pertuis		
foreign	hypericum perfioraturn L.	lat	
entry	Molène	0	
orth	Molène		
clique	Bouillon blanc		
entry	Morelle noire	0	
orth	Morelle noire		
foreign	solanuIjI nigrum L.	lat	
entry	Mors du diable, remords, scabieuse des bois	0	
orth	Mors du diable		
orth	remords		
orth	scabieuse des bois		
foreign	scabiosa succisa L.	lat	
entry	Mort-Ghien	0	
orth	Mort-Ghien		
clique	Çolchique		
entry	Morelle	0	
orth	Morelle		
foreign	Taoire solanum ndgru-m	lat	
entry	Mousse de Corse	0	
orth	Mousse de Corse		
entry	Moutarde	0	
orth	Moutarde		
foreign	sinapis nigra et alba L.	lat	
entry	Muscade	0	
orth	Muscade		
foreign	mynsüca aromatica L.	lat	
entry	Myrobolans, niirubolans	0	
orth	Myrobolans		
orth	niirubolans		
foreign	phillaiIthus emblica L.	lat	
entry	Myrthe	0	
orth	Myrthe		
foreign	cassa gumminifiera	lat	
entry	Napel	0	
orth	Napel		
foreign	aconiturn napelliis L.	lat	
entry	Napha	0	
orth	Napha		
foreign	citrus aurantium L.	lat	
entry	Nasitor	0	
orth	Nasitor		
clique	Cresson alénois		
entry	Navet du diable, navet galanT, Bryone	0	
orth	Navet du diable		
orth	navet galanT		
orth	Bryone		
foreign	Bryonia alba L.	lat	
entry	Nèfle	0	
orth	Nèfle		
foreign	mespilus germanica L.	lat	
entry	Nerprun	0	
orth	Nerprun		
foreign	rhamnus catharticus L.	lat	
entry	Nénuphar blanc, Nénuphar jaune	0	
orth	Nénuphar blanc		
orth	Nénuphar jaune		
foreign	nymphœa alba, lutea L.	lat	
entry	Noix	0	
orth	Noix		
foreign	îuglans regia L.	lat	
entry	Noix vomique	0	
orth	Noix vomique		
foreign	strychnos nux vomica L.	lat	
entry	Oignon	0	
orth	Oignon		
foreign	allium cepa L.	lat	
entry	Opium	0	
orth	Opium		
foreign	papaver sonrniferum L.	lat	
entry	Opopanax	0	
orth	Opopanax		
foreign	pastinaca opopanax L.	lat	
entry	Oranger	0	
orth	Oranger		
foreign	citrus aurantiuni L.	lat	
entry	Oreille-d’hommc	0	
orth	Oreille-d’hommc		
clique	Cabaret		
entry	Orchis	1	
orth	Orchis		
foreign	orchis morio L.	lat	
foreign	Orchis mascula L.	lat	
foreign	Orchis latifolia L.	lat	
foreign	Orchis maculata L.	lat	
foreign	Orchis bifolia L.	lat	
foreign	Orchis pyramidalis L.	lat	
pb	464		
entry	Oreille-de-rat	0	
orth	Oreille-de-rat		
foreign	hieracium pilosella L.	lat	
entry	Oreille d’ours, primevère	0	
orth	Oreille d’ours		
orth	primevère		
foreign	primula veris L.	lat	
entry	Orge	0	
orth	Orge		
foreign	hordeum vulgare L.	lat	
foreign	Hordeum dystichon L.	lat	
foreign	Hordeum hexastichon L.	lat	
entry	Origan commun	0	
orth	Origan commun		
foreign	origanum uulgare L.	lat	
entry	Origan marjolaine	0	
orth	Origan marjolaine		
foreign	origanum marjorana L.	lat	
entry	Orobe des herboristes	0	
orth	Orobe des herboristes		
foreign	ervum	lat	
foreign	ervilia L.	lat	
entry	Orpin, reprise, joubarde des vignes	0	
orth	Orpin		
orth	reprise		
orth	joubarde des vignes		
foreign	sedum telephiuniïa L.	lat	
entry	Orseille	0	
orth	Orseille		
foreign	lichen roccella L.	lat	
entry	Ortie blanche	0	
orth	Ortie blanche		
foreign	lamium album L.	lat	
entry	Pareira brava, vigne sanvage	0	
orth	Pareira brava		
orth	vigne sanvage		
foreign	cissarnpelos pareira L.	lat	
entry	Pas-d’ane	0	
orth	Pas-d’ane		
foreign	tussilago farfara L.	lat	
entry	Patience	0	
orth	Patience		
foreign	rumex acutus L.	lat	
entry	Pavot des jsrdins, Pavot somnifère	0	
orth	Pavot des jsrdins		
orth	Pavot somnifère		
clique	Opium		
entry	Pavot rouge	0	
orth	Pavot rouge		
clique	Coquelicot		
entry	Pêcber	0	
orth	Pêcber		
foreign	amygdalus persica L.	lat	
entry	Persil	0	
orth	Persil		
foreign	apicum petro selinuus	lat	
entry	Petit chêne, germandrée	0	
orth	Petit chêne		
orth	germandrée		
foreign	teucrium chamœdiys	lat	
entry	Petite Centaurée	0	
orth	Petite Centaurée		
foreign	gentiana centaurium L.	lat	
entry	Petite herbe aux chats	0	
orth	Petite herbe aux chats		
foreign	teucrium marum L.	lat	
entry	Petite valériane	0	
orth	Petite valériane		
foreign	xalcriana officinalis L.	lat	
entry	Pied-de-chat	0	
orth	Pied-de-chat		
foreign	gnaphalium dioicu.ni L.	lat	
entry	Pid-de-veau	0	
orth	Pid-de-veau		
foreign	arum manclatum L.	lat	
entry	Pignon	0	
orth	Pignon		
foreign	pinuspinea L.	lat	
entry	Pignon de Barbarie, grand haricot du Pérou	0	
orth	Pignon de Barbarie		
orth	grand haricot du Pérou		
foreign	jatropa curcas L.	lat	
entry	Pignons d’Iude, petit ricin	0	
orth	Pignons d’Iude		
orth	petit ricin		
foreign	croton tiglimus L.	lat	
entry	Pissenlit	0	
orth	Pissenlit		
foreign	leontodon taraxacurn L.	lat	
entry	Pistaclie	0	
orth	Pistaclie		
foreign	pistacia vera L.	lat	
entry	Pivoine, Pione	0	
orth	Pivoine		
orth	Pione		
foreign	pœonia ofificinalis L.	lat	
entry	Poivre	0	
orth	Poivre		
foreign	pipernigrum L.	lat	
entry	Poivre long, piinent, corail des jardins	0	
orth	Poivre long		
orth	piinent		
orth	corail des jardins		
foreign	capsicum annuum L.	lat	
entry	Poix amyride, élémi	0	
orth	Poix amyride		
orth	élémi		
foreign	amyris elemifera L.	lat	
foreign	deï'arnyris zeylonica	lat	
entry	Poix blanche, poix de Bourgogne, poix grasse, poix d'épicier	0	
orth	Poix blanche		
orth	poix de Bourgogne		
orth	poix grasse		
orth	poix d'épicier		
foreign	pinus picea	lat	
entry	Poix de sapin	0	
orth	Poix de sapin		
foreign	piJIus picea L.	lat	
entry	Polygala de Virginie	0	
orth	Polygala de Virginie		
foreign	polygala Venega L.	lat	
entry	Polygala amer	0	
orth	Polygala amer		
foreign	polygala amara L.	lat	
entry	Polypode commun	0	
orth	Polypode commun		
foreign	polypodium vulgare L.	lat	
entry	Potelée	0	
orth	Potelée		
clique	jusquiame		
pb	465		
entry	Poudre de la comtesse, Poudre des pères	0	
orth	Poudre de la comtesse		
orth	Poudre des pères		
clique	Quinquina		
entry	Pruneau	0	
orth	Pruneau		
foreign	prunus domestica L.	lat	
entry	Psyllium	0	
orth	Psyllium		
foreign	plantago psyllium L.	lat	
entry	Pyrethre	0	
orth	Pyrethre		
foreign	anthemispyrethrumVs	lat	
entry	Quassia	0	
orth	Quassia		
foreign	quassia amara L.	lat	
entry	Quinquina gris de Loxa	0	
orth	Quinquina gris de Loxa		
foreign	cinchona condaminea	lat	
entry	Quinquina blanc	0	
orth	Quinquina blanc		
foreign	cinchona ova lifolia	lat	
entry	Quinquina rouge	0	
orth	Quinquina rouge		
foreign	cinchona oblongifolia	lat	
entry	Quinquiua jaune	0	
orth	Quinquiua jaune		
foreign	cinchona corAIfolia	lat	
entry	Quinquina orangé	0	
orth	Quinquina orangé		
foreign	cinchona lancifolia	lat	
entry	Racine des serpens	0	
orth	Racine des serpens		
foreign	ophiorriza mungos	lat	
entry	Raifort sauvage	0	
orth	Raifort sauvage		
foreign	cochlearia armotacia L.	lat	
entry	Raisin de caisse	0	
orth	Raisin de caisse		
foreign	vitis vifüferaE	lat	
entry	Raisin de Corinthe	0	
orth	Raisin de Corinthe		
foreign	vitis vinifera apyrenna sive Corinthiaca	lat	
entry	Réglisse hérissée	0	
orth	Réglisse hérissée		
foreign	glyzirrhiza echinata L.	lat	
entry	Réglisse	0	
orth	Réglisse		
foreign	e{ïrciuaie,glyzirrhiza glabra L.	lat	
entry	Résine élastique	0	
orth	Résine élastique		
foreign	horea Guianensis L.	lat	
entry	Rhubarbe	0	
orth	Rhubarbe		
foreign	rheum palrnatum et undulaturn L.	lat	
entry	Ricin	0	
orth	Ricin		
foreign	ricinus commntIisïj	lat	
entry	Riz	0	
orth	Riz		
foreign	oryza sativa L.	lat	
entry	Romarin	0	
orth	Romarin		
foreign	rosmarin us ofiflcin a lis L.	lat	
entry	Rose	0	
orth	Rose		
foreign	rosa ceIItifolia L.	lat	
entry	Rose de Provins	0	
orth	Rose de Provins		
foreign	rosa Gallica L.	lat	
entry	Rue des jardins	0	
orth	Rue des jardins		
foreign	ruta graveolens L.	lat	
entry	Safran	0	
orth	Safran		
foreign	crocus sativus L.	lat	
entry	Safran bàtard	0	
orth	Safran bàtard		
foreign	carthamus tinctorius L.	lat	
entry	Sagapenum	0	
orth	Sagapenum		
entry	Sagou	0	
orth	Sagou		
foreign	palma fiarinaria	lat	
entry	Salicor, boucard, soude	0	
orth	Salicor		
orth	boucard		
orth	soude		
foreign	salicornia herbacea L.	lat	
entry	Salseparcille	0	
orth	Salseparcille		
foreign	smilax salsaparilla L.	lat	
entry	Saponaire, savouière officinale	0	
orth	Saponaire		
orth	savouière officinale		
foreign	saponaria olficinalis L.	lat	
entry	Sang-dragon	0	
orth	Sang-dragon		
foreign	pterocarpus draco L.	lat	
entry	Santoline	0	
orth	Santoline		
clique	Cina		
entry	Sarrictte	0	
orth	Sarrictte		
foreign	satureia hortensis L.	lat	
entry	Sassairas	0	
orth	Sassairas		
foreign	laurus sassafiras L.	lat	
entry	Sauge	0	
orth	Sauge		
foreign	salvia officinalis L.	lat	
entry	Scammonée d’Alep	0	
orth	Scammonée d’Alep		
foreign	duconvolvulus scammonia L.	lat	
entry	Scammonée de Smyrne	0	
orth	Scammonée de Smyrne		
foreign	periploca scamone L.	lat	
entry	Scille	1	
orth	Scille		
foreign	scilla maritima L.	lat	
pb	466		
entry	Sébeste	0	
orth	Sébeste		
foreign	cordia myxa L.	lat	
entry	Semen contra	0	
orth	Semen contra		
clique	Cina		
entry	Séné d’Alexandrie, Séné de Seyde	0	
orth	Séné d’Alexandrie		
