cote	annee	vols	class	nom	livanc	nomdate	an_max	orth_lang	entry_lang	sep	vol_re	bibl
_30944	1767	2	med	<u>Levacher de La Feutrie</u> & al.	24813	<u>Levacher de La Feutrie</u> & al. (1767)				.		Le Vacher de la Feutrie. - Dictionnaire de chirurgie. - Paris, chez Lacombe, 1767. - 2 vol. in-8°.
pharma_019127	1770	4	sc	<u>Buc’hoz</u> plantes	43007	<u>Buc’hoz</u> plantes (1770-1771)	1771			/	(Tome .*)	Buc’hoz, Pierre-Joseph. - Dictionnaire raisonné universel des plantes, arbres et arbustes de la France... - Paris : Chez J. P. Costard, 1770-1771. Publié en quatre volumes.
_32546	1771	1	med	<u>Hélian</u>	4337	<u>Hélian</u> (1771)				/		Hélian.- Dictionnaire du diagnostic, ou l’art de connoître les maladies, et de les distinguer exactement les unes des autres.- Paris : chez Vincent, 1771.
pharma_013686	1772	4	sc	<u>Buc’hoz</u> minér. hydrol.	43002	<u>Buc’hoz</u> minéralogie & hydrologie (1772-1776)	1776			/	(Tome .*)	Buc’hoz, Pierre-Joseph. - Dictionnaire minéralogique et hydrologique de la France... - Paris : Chez J. P. Costard, 1772-1776. Publié en quatre volumes.
extalfobuchoz	1775	6	vet	<u>Buc’hoz</u> vétérinaire	186681	<u>Buc’hoz</u> vétérinaire (1775)				/	(Tome .*)	Buc’hoz, Pierre-Joseph. - Dictionnaire vétérinaire, et des animaux domestiques, contenant leurs moeurs, leurs caractères, leurs descriptions anatomiques... auquel on a joint un « Fauna gallicus » Nouvelle édition, 60 planches gravées en taille-douce - Paris : Chez Brunet, 1775. Six volumes.
_146144	1778	4	med sc	<u>Eloy</u>	24814	<u>Eloy</u> (1778)				/	(Tome .*)	Eloy, N. F. J. Dictionnaire historique de la médecine ancienne et moderne, ou mémoires disposés en ordre alphabétique pour servir à l’histoire de cette science et à celle des médecins, anatomistes, botannistes, chirurgiens et chymistes de toutes nations. - Mons, H. Hoyois, 1778. 4 vol.
_07410xM	1787	14	med	Enc. méthod. médecine	42942	Encyclopédie méthodique de médecine (1787-1830)	1830			.	 médecins\. (.*)	Encyclopédie méthodique. - Paris : Panckoucke. Publié entre 1787 et 1830 (série médecine : 1787- 1830)
_07410xC	1790	3	med	Enc. méthod. chirurgie	42941	Encyclopédie méthodique de chirurgie (1790-1799)	1799			.	\. ([ALR].*)	Encyclopédie méthodique. - Paris : Panckoucke. Publié entre 1787 et 1830 (série chirurgie : 1790-1798)
_45392	1793	1	med sc	<u>Lavoisien</u>	8160	<u>Lavoisien</u> (1793)				/		Lavoisien, Jean-Fr. - Dictionnaire portatif de médecine, d’anatomie, de chirurgie, de pharmacie, de chymie, d’histoire naturelle, de botanique et de physique... - À Paris, chez Théophile Barrois. -1793
pharma_019129	1797	6	sc	<u>Tournefort</u> <u>Jolyclerc</u>	47196	<u>Tournefort</u> <u>Jolyclerc</u> (1797)				/	(Tome .*)	Tournefort, Joseph Pitton de ; Jolyclerc, Nicolas. - Elémens de botanique, ou Méthode pour connoitre les plantes... - Lyon : chez Pierre Bernuset et Cie, 1797. Publié en six volumes.
pharma_019128	1803	2	sc	Plantes alimentaires	47193	Plantes alimentaires (1803)				/	(Tome .*)	Dictionnaire des plantes alimentaires qui peuvent servir de nourriture, de boisson aux différens peuples de la terre... - Paris : Samson, 1803. Publié en deux volumes.
extbnfrivet	1803	2	pharm	<u>Rivet</u>	24828	<u>Rivet</u> (1803-1805)	1805			/	\. - (.*)	Rivet, Jean Baptiste. - Dictionnaire raisonné de pharmacie-chimique, théorique et pratique. - Lyon : Reymann ; Paris : Brunot. - 2 volumes (1803 - 1805).
_37019	1806	1	med sc	<u>Capuron</u>		<u>Capuron</u> (1806)						Capuron, Nouveau dictionnaire de médecine, de chirurgie, de physique, de chimie et d’histoire naturelle, où l’on trouve l’étymologie et l’explication des termes de ces sciences, avec deux vocabulaires, l’un grec, l’autre latin, et les Synonymies relatives aux anciennes et nouvelles nomenclatures d’Anatomie, Chimie, Botanique, etc. etc., Paris : J.-A. Brosson, 1806.
_47661	1812	60	med	<u>Panckoucke</u>	24724	<u>Panckoucke</u> (1812-1822)	1822			/	/ (.*)	Dictionnaire des sciences médicales par une société de médecins et de chirurgiens. - Paris : Panckouke. Publié de 1812 à 1822. Dit aussi « Le Panckoucke »
_47667	1820	7	biogr	<u>Panckoucke</u> biographie	24812	<u>Panckoucke</u> biographie (1820-1825)	1825			-	(Tome .*)	Dictionnaire des sciences médicales. Biographie médicale. - Paris : Panckouke. Publié de 1820 à 1825.
_35573	1821	15	med	<u>Panckoucke</u> abrégé	194074	<u>Panckoucke</u> abrégé (1821-1826)	1826			/		Dictionnaire abrégé des sciences médicales. - Paris : Panckouke. Publié de 1821 à 1826.
extbnfadelon	1821	21	med	<u>Adelon</u> & al.	24824	<u>Adelon</u> & al. (1821-1828)	1828			/	\. - (.*)	Dictionnaire de médecine / par MM. Adelon, Béclard, Biett... [et al.]. - tome 1, A - ALI.. - Paris : Béchet jeune. -1821 – 1828. Publié en 21 volumes. Dit aussi « Adelon 1re édition »
_61157	1823	1	med sc vet pharm	<u>Bégin</u> & al.	2444	<u>Bégin</u> & al. (1823)				.		Bégin, Louis-Jacques et al. - Dictionnaire des termes de médecine, chirurgie, art vétérinaire, pharmacie, histoire naturelle, botanique, physique, chimie, etc. - Paris : Crevot : Béchet : Baillière, 1823.
extbnfdezeimeris	1828	4	hist sc	<u>Dezeimeris</u> & al.	24827	<u>Dezeimeris</u> & al. (1828-1839)	1839			/	\. - (.*)	Dezeimeris, Jean-Eugène. - Dictionnaire historique de la médecine ancienne et moderne… - Paris : Béchet jeune. - 1828 – 1839. Publié en 4 volumes.
_57503	1829	1	med	<u>Coster</u>	9223	<u>Coster</u> (1829)				/		Coster, Jacques. - Dictionnaire de santé ou vocabulaire de médecine. - Paris : Gabon, 1829.
_34826	1829	15	med	<u>Andral</u> & al.	24800	<u>Andral</u> & al. (1829-1836)	1836			.	\. (.*)	Dictionnaire de médecine et de chirurgie pratiques. - Paris : Gabon, Méquignon-Marvis, J.-B. Baillière. Publié entre 1829 et 1836. Dit aussi « Le Quinze volumes » ou « Andral ».
pharma_014023	1829	7	med pharm	<u>Mérat</u> & <u>de Lens</u>	47179	<u>Mérat</u> & <u>de Lens</u> (1829-1846)	1846			/	(Tome .*)	Mérat, François-Victor ; Lens, Jacques de. - Dictionnaire universel de matière médicale et de thérapeutique générale... - Paris : J.-B. Baillière, Méquignon-Marvis, Gabon, 7 volumes, 1829-1846.
_34820	1832	30	med	<u>Adelon</u> & al. 2e éd.	24810	<u>Adelon</u> & al. 2e éd. (1832-1846)	1846			.	(Tome .*)	Dictionnaire de médecine ou répertoire général des sciences médicales considérées sous le rapport théorique et pratique, par MM. Adelon, Béclard, Bérard, Biett et al., 30 volumes. 2e édition. - Paris, Béchet Jeune et Labé. Publié entre 1832 et 1846. Dit aussi « Adelon », 2e éd.
extbnfnysten	1833	1	med sc vet pharm	<u>Nysten</u> <u>Bricheteau</u> 5e éd.	3485	<u>Nysten</u> <u>Bricheteau</u> 5e éd. (1833)				/		Nysten, Pierre-Hubert ; Bricheteau, Isidore ; Briand, Joseph ; Henry, Étienne Ossian. - Dictionnaire de médecine de chirurgie de pharmacie des sciences accessoires et de l’art vétérinaire. - Paris : J. S. Chaudé ; Montpellier : Sévalle, 1833.
extalfodarboval	1838	6	med vet	<u>Hurtrel d’Arboval</u> 2e éd.	193501	<u>Hurtrel d’Arboval</u> 2e éd. (1838-1839)	1839			/	(Tome .*)	Hurtrel d’Arboval. - Dictionnaire de médecine, de chirurgie et d’hygiène vétérinaires. Seconde édition entièrement refondue. - Paris : chez J.-B. Baillière, 1838-1839. Publié en six volumes.
extbnfbeaude	1849	2	med	<u>Beaude</u>	24825	<u>Beaude</u> (1849)				/	(Tome[^/]*) /	Beaude, Jean-Pierre (dir.). - Dictionnaire de médecine usuelle. - Paris : Didier, 1849. 2 volumes.
_37029	1850	9	med	<u>Fabre</u>	24811	<u>Fabre</u> (1850)				.	(Tome .*)	Le dictionnaire des dictionnaires de médecine français et étrangers ou traité complet de médecine et chirurgie pratiques contenant l’analyse des meilleurs articles qui ont paru jusqu’à ce jour dans les différents dictionnaires et les traités spéciaux les plus importants, rédigé par une société de médecins sous la direction du Dr Fabre. - Paris : Germer-Baillière. Publié en 1850 (supplément : 1851).
_37020b	1855	1	med sc vet pharm	<u>Nysten</u> <u>Littré</u> <u>Robin</u> 10e éd.	3313	<u>Nysten</u> <u>Littré</u> <u>Robin</u> 10e éd. (1855)				.		Dictionnaire de médecine, de chirurgie, de pharmacie, des sciences accessoires et de l’art vétérinaire de P.-H. Nysten, 10e édition, entièrement refondue par É. Littré,... Ch. Robin,... Ouvrage augmenté de la Synonymie latine, grecque, allemande, anglaise, italienne et espagnole et suivi d’un glossaire de ces diverses langues. Paris : J.-B. Baillière, 1855. Nysten 1855.
_34823	1856	22	med vet	<u>Bouley</u> & <u>Reynal</u>	24923	<u>Bouley</u> & <u>Reynal</u> (1856-1894)	1894			/	/ (.*)	Bouley, Henri-Marie ; Reynal, Jean. - Nouveau dictionnaire pratique de médecine, de chirurgie et d’hygiène vétérinaires. - Paris : Labé, 1856-1894.
extbnfpoujol	1857	1	med	<u>Poujol</u>	3488	<u>Poujol</u> (1857)				/		Poujol, Félix-André-Augustin. - Dictionnaire de médecine-pratique et des sciences qui lui servent de fondements / ... par le Dr F.-A.-Aug. Poujol,... ; publ. par M. l’abbé Migne... (Nouvelle encyclopédie théologique ; 17). - Paris : J.-P. Migne, 1857.
pharma_014236	1859	5	hist	<u>Roussel</u>	47187	<u>Roussel</u> (1859)				/	(Tome .*)	Roussel, J.-B. - Dictionnaire analytique et raisonné des articles indigènes et exotiques, drogueries, épiceries, peintures, teintures, liquides, etc., ou Connaissance des marchandises. – Paris : Librairie internationale, 1859. Publié en cinq volumes.
_32923	1864	40	med	<u>Jaccoud</u>	24809	<u>Jaccoud</u> (1864-1886)	1886			.	(Tome .*)	Nouveau dictionnaire de médecine et de chirurgie pratiques, illustré de figures intercalées dans le texte, sous la direction du Dr Jaccoud. - Paris : J.-B. Baillière Publié entre 1864 et 1886. Dit aussi « Le Jaccoud »
extbnfdechambre	1864	100	med	<u>Dechambre</u> & al.	24826	<u>Dechambre</u> & al. (1864-1889)	1889			/	\. - (.*)	Dictionnaire encyclopédique des sciences médicales / Directeur : A. Dechambre. - Paris : G. Masson, P. Asselin. Publié de 1864 à 1889, en cinq séries.
_37020c	1865	1	med sc vet pharm	<u>Nysten</u> <u>Littré</u> <u>Robin</u> 12e éd.	3315	<u>Nysten</u> <u>Littré</u> <u>Robin</u> 12e éd. (1865)				/		Dictionnaire de médecine, de chirurgie, de pharmacie, des sciences accessoires et de l’art vétérinaire de P.-H. Nysten, 12e édition, entièrement refondue par É. Littré,... Ch. Robin,... Ouvrage augmenté de la Synonymie latine, grecque, allemande, anglaise, italienne et espagnole et suivi d’un glossaire de ces diverses langues. - Paris : J.-B. Baillière, 1865. Nysten 1865.
_27518	1867	1	med	<u>Bouchut</u> & <u>Després</u>	3311	<u>Bouchut</u> & <u>Després</u> (1867)				.		Bouchut, Eugène. - Dictionnaire de thérapeutique médicale et chirurgicale. - Paris : Baillière, 1867.
_37020d	1873	1	med sc vet pharm	<u>Littré</u> <u>Robin</u> 13e éd.	3314	<u>Littré</u> <u>Robin</u> 13e éd. (1873)				.		Dictionnaire de médecine, de chirurgie, de pharmacie, de l’art vétérinaire et des sciences qui s’y rapportent... 13e édition, entièrement refondue par E. Littré et Ch. Robin,... - Paris : J.-B. Baillière, 1873. Littré 1873.
pharma_006061	1883	5	med pharm	<u>Dujardin-Beaumetz</u>	47173	<u>Dujardin-Beaumetz</u> (1883-1895)	1895			/	(Tome .*|Supplément)	Dujardin-Beaumetz, Georges. - Dictionnaire de thérapeutique, de matière médicale, de pharmacologie, de toxicologie et des eaux minérales. - Paris : O. Doin, 1883-1895. Publié en quatre volumes, plus un supplément.
_20311	1885	1	med	<u>Dechambre</u> & al. Dict. usuel	9225	<u>Dechambre</u> & al. Dict. usuel (1885)				/		Dictionnaire usuel des sciences médicales par les Drs A. Dechambre, Mathias Duval et L. Lereboullet Publié en 2 volumes.
_21575	1887	2	med pharm	<u>Labarthe</u>	24922	<u>Labarthe</u> (1887)				/	\. (.*)	Labarthe, Paul. - Dictionnaire populaire de médecine usuelle. - Paris : Marpon et Flammarion, 1887. Publié en 2 volumes.
_56140	1888	1	biogr	<u>Guilland</u>	339347	<u>Guilland</u> (1888)				/		Les Savoyards de divers états : les médecins -- notes recueillies par le docteur Louis Guilland ; mises en ordre et précédées d’une introduction par Fr. Rabut. - Chambéry : Ménard, 1888.
_24374	1895	1	biogr	<u>Fage</u>	382684	<u>Fage</u> (1895)				;		Fage, René. - Dictionnaire des médecins du Limousin (Corrèze et Haute-Vienne) jusqu’à la fin du XVIIIIe siècle. - Tulle : imprimerie Crauffon, 1895.
_21244	1895	1	biogr	<u>Carnoy</u>	194131	<u>Carnoy</u> (1895)				/		Carnoy, H. - Dictionnaire biographique international des médecins et chirurgiens. - Paris, imprimerie de l’armorial français, 1895.
_27898	1908	1	med sc vet pharm	<u>Littré</u> <u>Gilbert</u> 21e éd.	9222	<u>Littré</u> <u>Gilbert</u> 21e éd. (1908)				/		Littré, Émile ; Gilbert, A.. - Dictionnaire de médecine, chirurgie... ; 21e éd. - Paris, Baillière, 1908.
pharma_p11247	1914	21	pharm	<u>Vidal</u>	295415	<u>Vidal</u> (1914-1943)	1943			/		Dictionnaire des spécialités pharmaceutiques ; Vidal. Le dictionnaire ; Dictionnaire de spécialités pharmaceutiques - Paris : Office de vulgarisation pharmaceutique, 1914-1943. Publié en 21 volumes.
_26087	1917	1	med	Larousse de guerre	8150	Larousse de guerre (1917)				/		Galtier-Boissière, Émile. - Larousse médical illustré de guerre. - Paris, Librairie Larousse, 1917.
_269035	1924	1	med	Larousse médical illustré	9224	Larousse médical illustré (1924)				/		Larousse médical illustré ; sous la dir. du Dr Galtier-Boissière... ; nouv. éd. entièrement refondue et augmentée par le Dr Burnier. - Paris, Larousse. - 1924
