object	
orth	Barbe
orth	Baromètre
orth	Barosanème
orth	Baroscope
orth	Baryphonie
orth	Baryte
pb	41
orth	Base
orth	Basilaire
orth	Basilicon
orth	Basilique
orth	Basioglosse
orth	Bassin
orth	Bassiner
orth	Bassinet
orth	Bas-ventre
orth	Batitures
orth	Batrachite
orth	Batraciens
orth	Baume
orth	Béchiques
orth	Bedeguar
orth	Bégaiement
orth	Bégayer
pb	42
orth	Bellon
orth	Benath
orth	Bénéfice
orth	Bénin
orth	Benjoin
orth	Benzoate
orth	Benzoïque
orth	Béribérii
orth	Béton
orth	Beurre
orth	Bézoard
orth	Bézoardiques
orth	Bibliographie
orth	Biceps
orth	Biconjugé
orth	Bicornu
orth	Bicuspidé
pb	43
orth	Bidenté
orth	Bière
orth	Bifère
orth	Bifide
orth	Biflore
orth	Bifurcation
orth	Bigame
orth	Bigamie
orth	Bigéminé
orth	Bijugées
orth	Bile
orth	Biliaire
orth	Bilieux
orth	Bilobé
orth	Biloculaire
orth	Binocle
orth	Binôme
orth	Biographie
orth	Biparti
orth	Bipartible
orth	Biparti-lobé
orth	Bipède
orth	Bipinnatifide
orth	Bipinnée
orth	Bisannuel
orth	Biscuit
orth	Bisexe
orth	Bisexuel
orth	Bismuth
pb	44
orth	Bistouri
orth	Bisulce
orth	Biterné
orth	Bitume
orth	Bitumineux
orth	Bituminisation
orth	Bivalve
orth	Blanc-de-champignon
orth	Blanchet
orth	Blende
orth	Blennorrhagie
orth	Blennorrhée
orth	Blépharoptosis
orth	Blépharotis
orth	Blessure
orth	Boback
pb	45
orth	Bocard
orth	Bocardage
orth	Bocarder
orth	Bochet
orth	Bois
orth	Boisson
orth	Boitement
orth	Boiter
orth	Boiteux
orth	Bol
orth	Bolides
orth	Bombiate
orth	Bombice
orth	Bombique
orth	Bootès
orth	Boracique
orth	Borate
orth	Borax
orth	Borborygme
orth	Boréal
orth	Borée
orth	Borgne
orth	Borozail
orth	Bosse
orth	Bossu
orth	Bostrychite
pb	46
orth	Botal
orth	Botanique
orth	Botaniste
orth	Botanologie
orth	Bothrion
orth	Botryte
orth	Bouche
orth	Bouclement
orth	Boues
orth	Bouffir
orth	Bouffissure
orth	Bougie
orth	Boulimie
orth	Bourbillon
orth	Bourdonnet
orth	Bourgeon
pb	47
orth	Bourses
orth	Bouton
orth	Bouture
orth	Boyau
orth	Brachial
orth	Brachycataleptique
orth	Brachylogie
orth	Brachypnée
orth	Brachypote
orth	Brachyptère
orth	Brachystochrone
orth	Bractée
orth	Bractéifère
orth	Bracteté
orth	Bradypepsie
orth	Branche
orth	Branchies
orth	Bras
orth	Brayer
orth	Brédissure
pb	48
orth	Bregma
orth	Bromographie
orth	Bronches
orth	Bronchial
orth	Bronchocèle
orth	Bronchotomie
orth	Brontias
orth	Bronze
orth	Brou
orth	Bruissement
orth	Brûlure
orth	Brute
orth	Bubon
orth	Bubonocèle
orth	Buccal
orth	Buccinateur
orth	Bufonite
orth	Bulbe
pb	49
orth	Bulbeux
orth	Bulbifère
orth	Bulbiforme
orth	Bulle
orth	Bullé
orth	Bulleux
orth	Buphthalmie
orth	Butireux
orth	Cabale
orth	Cacao
orth	Cachectique
orth	Cachexie
orth	Cachou
orth	Cacocholie
orth	Cacochylie
orth	Cacochyme
pb	50
orth	Cacochymie
orth	Cacoète
orth	Cacoèthe
orth	Cacopathie
orth	Cacophonie
orth	Cacopragie
orth	Cacositie
orth	Cacothymie
orth	Cacotrophie
orth	Cadavéreux
orth	Cadavre
orth	Cadmie
orth	Caduc
orth	Caducité
orth	Café
orth	Cagneux
orth	Caïeu
orth	Caillebotte
orth	Caillebotté
orth	Caillette
orth	Caillot
orth	Caisse
pb	51
orth	Cal
orth	Calamine
orth	Calcaire
orth	Calcanéum
orth	Calcédoine
orth	Calcination
orth	Calciner
orth	Calcul
orth	Calculeux
orth	Calculifrage
orth	Caléfaction
orth	Calenture
orth	Calice
orth	Calicé
orth	Calicinal
orth	Calicule
orth	Caliculé
orth	Calleux
orth	Callipédie
orth	Callosité
pb	52
orth	Calmant
orth	Calomel
orth	Calomélas
orth	Caloricité
orth	Calorimètre
orth	Calorique
orth	Calus
orth	Calvitie
orth	Calyptré
orth	Cambré
orth	Caméléon
orth	Camomille
orth	Campane
orth	Campaniforme
orth	Campanulacé
orth	Campanulé
orth	Camphorate
orth	Camphorique
orth	Camphre
pb	53
orth	Camphré
orth	Camus
orth	Canal
orth	Canaliculé
orth	Cancer
orth	Caniculaire
orth	Canicule
orth	Canin
orth	Cantharide
orth	Canthus
orth	Canule
orth	Caoutchouc
orth	Capacité
pb	54
orth	Capeline
orth	Capillacé
orth	Capillaire
orth	Capillament
orth	Capiteux
orth	Capitule
orth	Capitulê
orth	Capricorne
orth	Caprisant
orth	Capsule
orth	Capuchonné
orth	Caput-mortuum
orth	Caquesangue
orth	Carabé
orth	Caractère
orth	Caractéristique
orth	Caramel
orth	Carapace
pb	55
orth	Carat
orth	Carature
orth	Carbonate
orth	Carbone
orth	Carbonique
orth	Carbonisation
orth	Carbure
orth	Carcinomateux
orth	Carcinome
orth	Cardiagraphie
orth	Cardiaire
orth	Cardialgie
orth	Cardialogie
orth	Cardiaque
orth	Cardiatomie
orth	Cardinal
orth	Cardiogme
orth	Carditis
orth	Carène
pb	56
orth	Caréné
orth	Carie
orth	Carminatif
orth	Carnassier
orth	Carnification
orth	Carnivore
orth	Carnosité
orth	Caroncules
orth	Carotides
orth	Carotique
orth	Carpe
orth	Carphologie
orth	Carpien
orth	Carpo-balsamum
orth	Carpolithe
orth	Carré
orth	Carreau
orth	Carrure
orth	Cartésianisme
orth	Cartésien
orth	Cartilage
orth	Cartilage thyroïde
pb	57
orth	Cartilagineux
orth	Carus
orth	Caryocostin
orth	Caryophylloïde
orth	Caséation
orth	Caseux
orth	Casque
orth	Casse
orth	Castanite
orth	Castoréum
orth	Castration
orth	Catacaustique
orth	Catachasmos
orth	Catacoustique
orth	Catadioptrique
orth	Catagmatique
orth	Catalepsie
pb	58
orth	Cataleptique
orth	Catalogue
orth	Catalotique
orth	Catapasme
orth	Cataphora
orth	Cataplasme
orth	Cataplexie
orth	Cataracte
orth	Catarrhal
orth	Catarrhe
orth	Catarrheux
orth	Catastaltique
orth	Catégorie
orth	Cathartique
orth	Cathérèse
orth	Cathérétique
orth	Cathète
orth	Cathéter
orth	Cathétérisme
pb	59
orth	Catholicon
orth	Catholique
orth	Catoche
orth	Catochus
orth	Catoptrique
orth	Catotérique
orth	Catulotique
orth	Cauchemar
orth	Caudé
orth	Caulescente
orth	Caulinaire
orth	Cause
orth	Causticité
orth	Caustique
orth	Causus
orth	Cautère
orth	Cautérétique
orth	Cautérisation
orth	Caverneux
orth	Cayeu
orth	Cécité
orth	Céliaque
orth	Cellulaire
orth	Cellule
pb	60
orth	Celluleux
orth	Célotomie
orth	Cément
orth	Cémentation
orth	Cémentatoire
orth	Cémenter
orth	Cenchrite
orth	Cendrée
orth	Cendrier
orth	Centiare
orth	Centigramme
orth	Centime
orth	Centimètre
orth	Centre
orth	Centrifuge
orth	Centripète
orth	Centrobarique
orth	Centroscopie
orth	Céphalagraphie
orth	Céphalalgie
orth	Céphalalogie
orth	Céphalanthe
pb	61
orth	Céphalartique
orth	Céphalatomie
orth	Céphalée
orth	Céphalique
orth	Céphalite
orth	Céphalitis
orth	Céphaloïde
orth	Céphalo-pharyngien
orth	Céphalopode
orth	Céphaloponie
orth	Céphalotomie
orth	Céraste
orth	Cérat
orth	Cération
orth	Cérato-glosse
orth	Cératoïde
orth	Cératophyte
orth	Cérato-staphylin
orth	Céraunochryson
orth	Cercose
orth	Cercosis
orth	Cérébral
orth	Cérium
pb	62
orth	Céroène
orth	Céropisse
orth	Cerumen
orth	Cérumen
orth	Cérumineux
orth	Céruse
orth	Cerveau
orth	Cervelet
orth	Cervelle
orth	Cervical
orth	Cervoise
orth	Césarienne
orth	Cétacé
orth	Chair
orth	Chalasie
orth	Chalastique
orth	Chalcédoine
orth	Chalcédoineux
orth	Chalcite
orth	Chalcopyrite
orth	Chaleur
pb	63
orth	Chalybé
orth	Chamaecerasus
orth	Chamécisse
orth	Chamédrys
orth	Chancissure
orth	Chancre
orth	Chapeau
orth	Chapelet
orth	Chapiteau
orth	Chappetonade
orth	Charbon
orth	Charbon de terre
orth	Charbonneux
orth	Charlatan
orth	Charnu
pb	64
orth	Charpie
orth	Chartre
orth	Chassie
orth	Chassieux
orth	Chaton
orth	Chatouillement
orth	Chatouiller
orth	Chaude-pisse
orth	Chauffoir
orth	Chaume
orth	Chausse d'hippocrate
orth	Chauve
orth	Chaux
orth	Chef
orth	Chéiroptère
orth	Chélidoine
orth	Chéloniens
orth	Chélonite
pb	65
orth	Chémosis
orth	Chénice
orth	Chersydre
orth	Chétodons
orth	Chevauchantes
orth	Chevaucher
orth	Chevelu
orth	Chevêtre
orth	Cheveu
orth	Chiastre
orth	Chicorée
orth	Chiligone
orth	Chimiatre
orth	Chimiatrie
orth	Chimie
orth	Chimique
orth	Chimiste
orth	Chiragre
orth	Chirite
orth	Chiromancie
orth	Chiromancier
orth	Chironien
orth	Chirurgical
orth	Chirurgie
orth	Chirurgien
orth	Chirurgique
pb	66
orth	Chlorose
orth	Choc
orth	Chocolat
orth	Chœnique
orth	Cholagogue
orth	Cholédographie
orth	Cholédologie
orth	Cholédoque
orth	Cholera-morbus
orth	Choléra-morbus
orth	Cholérique
orth	Chondrographie
orth	Chondrologie
orth	Chondroptérygien
orth	Chondrotomie
orth	Chordapse
orth	Chorion
orth	Choroïde
orth	Chose
pb	67
orth	Chromate
orth	Chrome
orth	Chromique
orth	Chronique
orth	Chronogunée
orth	Chronomètre
orth	Chronoscope
orth	Chrysalide
orth	Chrysanthème
orth	Chrysides
orth	Chrysites
orth	Chrysochlore
orth	Chrysocolle
orth	Chrysocome
orth	Chrysolithe
orth	Chrysomèles
orth	Chrysopée
orth	Chrysoprase
orth	Chrysulée
pb	68
orth	Chyle
orth	Chyleux
orth	Chylifère
orth	Chylification
orth	Chylose
orth	Chymiatre
orth	Chymiatrie
orth	Chymie
orth	Chymique
orth	Chymiste
orth	Cibation
orth	Cicatrice
orth	Cicatricule
orth	Cicatriser
orth	Cil
orth	Ciliaire
orth	Cilier
orth	Cillement
orth	Ciller
orth	Cime
orth	Cimetière
orth	Cimolée
orth	Cimolie
orth	Cinabre
orth	Cinéfaction
orth	Cinération
orth	Cinnamome
orth	Circompolaire
orth	Circoncision
orth	Circoncisse
pb	69
orth	Circonférence
orth	Circonscrire
orth	Circonscrit
orth	Circonstance
orth	Circulation
orth	Cire
orth	Cire des oreilles
orth	Ciron
orth	Cirrhe
orth	Cirrhé
orth	Cirrheux
orth	Cirrhifère
orth	Cirsocèle
orth	Cissite
orth	Cissoïdal
orth	Cissoïde
orth	Ciste
orth	Cistophore
orth	Citrate
orth	Citrin
pb	70
orth	Citrique
orth	Clairet
orth	Clapiers
orth	Clarification
orth	Classe
orth	Claudication
orth	Claveau
orth	Clavelée
orth	Claviculaire
orth	Clavicule
orth	Cleisagre
orth	Clématite
orth	Clepsydre
orth	Cleragre
orth	Clignotement
orth	Climat
orth	Climatérique
pb	71
orth	Clinique
orth	Clinoïde
orth	Clinopode
orth	Cliquetis
orth	Clitoris
orth	Cloaque
orth	Cloche
orth	Cloison
orth	Clonique
orth	Clou
orth	Clyssus
orth	Clystère
orth	Coagulant
orth	Coagulation
orth	Coagulum
pb	72
orth	Coalescence
orth	Coalition
orth	Coassement
orth	Cobalt
orth	Coccygien
orth	Coccyx
orth	Cochée
orth	Cochenille
orth	Cochléaria
orth	Cocon
orth	Coction
orth	Cœcum
orth	Coeffe
orth	Coefficient
orth	Cœliaque
orth	Cœnologie
pb	73
orth	Coercible
orth	Cœur
orth	Cohabitation
orth	Cohérence
orth	Cohésion
orth	Cohobation
orth	Coiffe
orth	Coïncident
orth	Coïndicans
orth	Coïndication
orth	Coït
orth	Col
orth	Colature
orth	Colcotar
orth	Coléoptère
orth	Colère
orth	Colique
orth	Collapsus
orth	Collerette
orth	Collet
orth	Collétique
orth	Colliquatif
orth	Colliquation
orth	Collision
orth	Collyre
pb	74
orth	Colon
orth	Coloquinte
orth	Colorisation
orth	Colosse
orth	Colostration
orth	Colostrum
orth	Columbium
orth	Columelle
orth	Columellé
orth	Colures
orth	Coma
orth	Comateux
orth	Combinaison
orth	Combustible
orth	Combustion
orth	Comète
orth	Cométographie
orth	Commémoratif
pb	75
orth	Commensurabilité
orth	Commensurable
orth	Comminution
orth	Commissure
orth	Commotion
orth	Compacité
orth	Compacte
orth	Compassion
orth	Complément
orth	Complémentaires
orth	Complexe
