object			
volume	27898	Littré-Gilbert (21e éd.)	1908
term	Acétates de mercure		
term	Proto-acétate de mercure		
term	Deuto-acétate de mercure		
ref	Dragées		
term	Acétate de morphine		
ref	Sibop		
term	Acétate de pepsine		
ref	Pepsine		
term	Acétates de plomb		
term	Acétate neutre		
ref	Lotion		
term	Acétate tribasique		
ref	Eau		
term	Acétate sexplombique		
term	Papier d’acétate de plomb		
ref	Papier		
term	Acétate de potasse		
term	Acétate de soude		
term	Acétate de zinc		
ref	Sulfate		
entry	Acéteux	0	
orth	Acéteux		
entry	Acétification	1	
orth	Acétification		
pb	15	0025	
entry	Acétique	0	
orth	Acétique		
term	Acide acétique		
term	Baume acétique		
ref	Baume		
term	Catalyse acétique		
ref	Catalyse		
term	Éther acétique		
term	Fermentation acétique		
ref	Fermentation		
entry	Acéto-butyrique	0	
orth	Acéto-butyrique		
ref	Propionique		
entry	Acétol, Acétolat	0	
orth	Acétol		
orth	Acétolat		
entry	Acétolature	0	
orth	Acétolature		
entry	Acétolé	0	
orth	Acétolé		
entry	Acétolique	0	
orth	Acétolique		
entry	Acétolotif	1	
orth	Acétolotif		
pb	16	0026	
entry	Acétomel	0	
orth	Acétomel		
entry	Acétomellé	0	
orth	Acétomellé		
entry	Acétone	0	
orth	Acétone		
entry	Acétonémie	0	
orth	Acétonémie		
entry	Acétonurie	0	
orth	Acétonurie		
entry	Acétophénone	0	
orth	Acétophénone		
ref	Hypnose		
entry	Acétosité	0	
orth	Acétosité		
entry	Acétylène	0	
orth	Acétylène		
entry	Achaovan	0	
orth	Achaovan		
entry	Ache	0	
orth	Ache		
term	Ache d’eau		
term	Achelivèche		
ref	Livèche		
entry	Achéirie	0	
orth	Achéirie		
ref	Achirie		
entry	Achilie, Acheilie	0	
orth	Achilie		
orth	Acheilie		
entry	Achille	0	
orth	Achille		
ref	Tendon		
entry	Achillée	0	
orth	Achillée		
entry	Achilléine	0	
orth	Achilléine		
entry	Achilletine	0	
orth	Achilletine		
entry	Achillodynie	0	
orth	Achillodynie		
foreign	Achille	lat	
entry	Achirie	0	
orth	Achirie		
entry	Achlys	0	
orth	Achlys		
entry	Acholie	0	
orth	Acholie		
entry	Acholurique	0	
orth	Acholurique		
entry	Achondroplasie	1	
orth	Achondroplasie		
pb	17	0027	
entry	Achores	0	
orth	Achores		
ref	Impétigo		
entry	Achorion	0	
orth	Achorion		
ref	Faveux		
entry	Achoriste	0	
orth	Achoriste		
entry	Achroma	0	
orth	Achroma		
entry	Achromasie	0	
orth	Achromasie		
ref	Aberration		
entry	Achromateux	0	
orth	Achromateux		
term	Teigne achromateuse		
ref	Trichophyton		
entry	Achromatie	0	
orth	Achromatie		
term	Achromatie de l’œil		
ref	Chromatie		
entry	Achromatine	0	
orth	Achromatine		
entry	Achromatique	0	
orth	Achromatique		
ref	Lentille		
ref	Achromatisme		
term	Achromatique f		
term	Achromatique		
entry	Achromatisation	0	
orth	Achromatisation		
ref	Achromatisme		
entry	Achromatisme	1	
orth	Achromatisme		
term	achromatismus		
ref	Microscope		
pb	18	0028	
entry	Achromatocyte	0	
orth	Achromatocyte		
entry	Achromatope	0	
orth	Achromatope		
entry	Achromatopsie	0	
orth	Achromatopsie		
ref	Dyschromatopsie		
entry	Achromie	0	
orth	Achromie		
entry	Achronizoïque	0	
orth	Achronizoïque		
entry	Achroodextrine	0	
orth	Achroodextrine		
entry	Achylie, Achylose	0	
orth	Achylie		
orth	Achylose		
entry	Achymose	0	
orth	Achymose		
entry	Achyranthe	0	
orth	Achyranthe		
foreign	Achyrantes	lat	
entry	Acide	0	
orth	Acide		
term	Dyspepsie acide		
ref	Dyspepsie		
ref	Gastralgie		
term	Fermentation acide		
ref	Fermentation		
term	Intoxication acide		
term	Milieux acides		
term	Saveur acide		
entry	Acidisme	0	
orth	Acidisme		
ref	Acescence		
entry	Acidité	0	
orth	Acidité		
term	Acidité des premières voies		
ref	Acescence		
ref	Aigrecr		
entry	Acidostéophyte	0	
orth	Acidostéophyte		
term	fungosus exostosis		
entry	Acidule	0	
orth	Acidule		
ref	Eac		
ref	Eau		
entry	Acidulé	0	
orth	Acidulé		
entry	Acier	0	
orth	Acier		
term	Baume d’acier		
ref	Bacme		
entry	Aciésie	0	
orth	Aciésie		
ref	Aevésœ		
entry	Acine, Acinus	0	
orth	Acine		
orth	Acinus		
ref	Foie		
entry	Acinèse	0	
orth	Acinèse		
entry	Acinésiatrophie	0	
orth	Acinésiatrophie		
entry	Acinésie	0	
orth	Acinésie		
entry	Acinésique	0	
orth	Acinésique		
term	Médication atinésigue		
entry	Acinétique	0	
orth	Acinétique		
term	Division acinétique		
entry	Acineux	0	
orth	Acineux		
term	Glande acineuse		
ref	Aune		
ref	Glande		
entry	Acini	0	
orth	Acini		
ref	Acine		
entry	Aciniformé	0	
orth	Aciniformé		
foreign	aciniformis	lat	
foreign	acinosus	lat	
term	Tunique aciniforme		
entry	Acmastique	1	
orth	Acmastique		
pb	19	0029	
entry	Acmé	0	
orth	Acmé		
term	Variété de la couperose		
ref	Couperose		
ref	Rhinophyma		
ref	Milium		
ref	Cornée		
ref	Sycosis		
ref	Séborrhée		
entry	Acmelle	0	
orth	Acmelle		
entry	Acné	0	
orth	Acné		
ref	Acmé		
entry	Acnitis	0	
orth	Acnitis		
entry	Acognosie	0	
orth	Acognosie		
entry	Acologie, Akologie	0	
orth	Acologie		
orth	Akologie		
entry	Acolyctine	0	
orth	Acolyctine		
entry	Acomie	0	
orth	Acomie		
entry	Aconelline	0	
orth	Aconelline		
entry	Aconit	1	
orth	Aconit		
term	Aconit napel		
term	napel		
term	Aconit salutaire		
ref	Thora		
term	Aconit tue-loup		
pb	20	0030	
entry	Aconitine	0	
orth	Aconitine		
entry	Aconitique	0	
orth	Aconitique		
entry	Acope	0	
orth	Acope		
entry	Acore	0	
orth	Acore		
entry	Acorée	0	
orth	Acorée		
entry	Acosmie	0	
orth	Acosmie		
entry	Acoumètre	0	
orth	Acoumètre		
entry	Acousmate	0	
orth	Acousmate		
entry	Acousmétrique, Acousmométrique	0	
orth	Acousmétrique		
orth	Acousmométrique		
entry	Acoustico-malléen	0	
orth	Acoustico-malléen		
ref	Oreille		
entry	Acoustique	0	
orth	Acoustique		
term	Baume acoustique		
term	Conduit acoustique		
ref	Conduit		
term	Cornet acoustique		
ref	Cornet		
term	Eau acoustique		
ref	Eau		
term	Nerf acoustique		
ref	Auditif		
term	Remèdes acoustiques		
entry	Acqui	0	
orth	Acqui		
entry	Acquis	0	
orth	Acquis		
entry	Acquisivité	0	
orth	Acquisivité		
ref	Craxiologie		
entry	Acranie	0	
orth	Acranie		
entry	Acrasie	0	
orth	Acrasie		
entry	Acratie	0	
orth	Acratie		
entry	Âcre	0	
orth	Âcre		
term	Saveur âcre		
term	Substance acre		
ref	Chaleur		
entry	Âcre	0	
orth	Âcre		
entry	Âcreté	0	
orth	Âcreté		
ref	Acrimoxie		
entry	Acribomètre	0	
orth	Acribomètre		
entry	Acridophage	0	
orth	Acridophage		
entry	Acrimonie	0	
orth	Acrimonie		
entry	Acrinie	0	
orth	Acrinie		
entry	Acrisie	0	
orth	Acrisie		
entry	Acritique	0	
orth	Acritique		
entry	Acrobystiolithe	0	
orth	Acrobystiolithe		
entry	Acrocéphale	0	
orth	Acrocéphale		
entry	Acrocéphalie	0	
orth	Acrocéphalie		
entry	Acrocéphalique	0	
orth	Acrocéphalique		
entry	Acrochordon	0	
orth	Acrochordon		
entry	Acrocyanose	0	
orth	Acrocyanose		
term	Acrocyanose proprement dite		
entry	Acrodynie	0	
orth	Acrodynie		
entry	Acromégalie	1	
orth	Acromégalie		
pb	21	0031	
entry	Acromélalgie	0	
orth	Acromélalgie		
entry	Acromial	0	
orth	Acromial		
term	Artère acromiale		
term	Veine acromiale		
entry	Acromio-claviculaire	0	
orth	Acromio-claviculaire		
entry	Acromio-coracoïdien	0	
orth	Acromio-coracoïdien		
entry	Acromion	0	
orth	Acromion		
ref	Omoplate		
entry	Acromio-thoracique	0	
orth	Acromio-thoracique		
entry	Acromphale	0	
orth	Acromphale		
entry	Acroneurose	0	
orth	Acroneurose		
entry	Acroparesthésie	0	
orth	Acroparesthésie		
entry	Acrophobie	0	
orth	Acrophobie		
entry	Acroposthie	0	
orth	Acroposthie		
entry	Acroposthite	0	
orth	Acroposthite		
entry	Acrotériasme	0	
orth	Acrotériasme		
entry	Acrotériose	0	
orth	Acrotériose		
entry	Acrothymion	0	
orth	Acrothymion		
ref	Papilloma		
entry	Acrotrophonévrose	0	
orth	Acrotrophonévrose		
entry	Acta	0	
orth	Acta		
entry	Acte	0	
orth	Acte		
term	Acte morbide réflexe		
ref	Réflexe		
term	Acte d’ordre organique ou vital		
ref	Vital		
ref	Action		
term	Acte sexuel ou vénérien		
ref	Coït		
entry	Actée	0	
orth	Actée		
term	Actée des Alpes		
entry	Actif	0	
orth	Actif		
term	Organes actifs de la locomotion		
term	Sensations actives		
ref	Anévrysme		
entry	Actinobolisme	0	
orth	Actinobolisme		
entry	Actinographie	0	
orth	Actinographie		
entry	Actinomycète	1	
orth	Actinomycète		
term	Actinomyces bovis		
pb	22	0032	
entry	Actinomycose	0	
orth	Actinomycose		
ref	Actinomycète		
entry	Actinoscopie	0	
orth	Actinoscopie		
entry	Action	0	
orth	Action		
ref	Organique		
ref	Vital		
term	Action cérébrale		
ref	Fonction		
term	Action de contact		
ref	Catalyse		
ref	Électricité		
term	Action diastaltique		
ref	Diastaltique		
term	Action disjonctive		
ref	Disjonctif		
term	Action des médicaments		
term	Action réflexe		
ref	Réflexe		
term	Loi d’intermittence d’action		
ref	Animalité		
ref	Imitation		
entry	Activité	0	
orth	Activité		
ref	Besoin		
ref	Vie		
term	Activité hygide		
ref	Hygioe		
term	Activité plastique		
ref	Plastique		
entry	Actol	0	
orth	Actol		
entry	Actuel	0	
orth	Actuel		
term	Cautère actuel		
ref	Cautère		
term	Étal actuel		
ref	État		
entry	Acuité	0	
orth	Acuité		
entry	Acuminé	0	
orth	Acuminé		
entry	Acuophonie	0	
orth	Acuophonie		
entry	Acupressure	1	
orth	Acupressure		
pb	23	0033	
entry	Acupuncture	0	
orth	Acupuncture		
ref	Éléctropuncture		
entry	Acuténacle	0	
orth	Acuténacle		
entry	Acyanoblepsie	0	
orth	Acyanoblepsie		
entry	Acyclie	0	
orth	Acyclie		
entry	Acyésie	0	
orth	Acyésie		
entry	Acystie	0	
orth	Acystie		
entry	Acystinervie	0	
orth	Acystinervie		
entry	Ada	0	
orth	Ada		
entry	Adagrégé	0	
orth	Adagrégé		
ref	Individu		
entry	Adamantin	0	
orth	Adamantin		
term	Éclat adaman tin		
ref	Diamant		
term	Croûte ou couche adamantine des dents		
entry	Adamantoblaste	0	
orth	Adamantoblaste		
entry	Adamique	0	
orth	Adamique		
entry	Adams	0	
orth	Adams		
term	Syndrome de Stokes-Adams		
ref	Stokes		
entry	Adansonia	0	
orth	Adansonia		
ref	Baobab		
entry	Adansonine	0	
orth	Adansonine		
entry	Adaptation	0	
orth	Adaptation		
ref	Accommodation		
