object			
volume	37020d	Littré-Robin (1865-1873)	1873
term	Foetus abortif		
term	avorton		
term	Méthode abortive		
term	Abortif		
entry	Abouchement	0	
orth	Abouchement		
foreign	Einmündung	deu	
foreign	inosculation	eng	
foreign	abboccamento	ita	
entry	Aboussenna	0	
orth	Aboussenna		
ref	Moucena		
entry	Aboutir	0	
orth	Aboutir		
foreign	aufbrechen	deu	
foreign	to break	eng	
foreign	marcire	ita	
entry	Aboutissement	0	
orth	Aboutissement		
entry	Aboyeurs	0	
orth	Aboyeurs		
term	Délire des aboyeurs		
ref	Névrophonie		
entry	Abracadabra	0	
orth	Abracadabra		
entry	Abrachie	0	
orth	Abrachie		
entry	Abrachiocéphalie	0	
orth	Abrachiocéphalie		
entry	Abranches	0	
orth	Abranches		
ref	Batraciens		
entry	Abrasion	1	
orth	Abrasion		
foreign	abrasio	lat	
foreign	Abschälen	deu	
foreign	Abschaben	deu	
foreign	abrasion	eng	
foreign	ξύσις	grc	
pb	0006	0020	
entry	Abre	0	
orth	Abre		
foreign	ἀβρὸς	grc	
entry	Abreuvé	0	
orth	Abreuvé		
term	Plaie abreuvée de pus		
entry	Abreuvement	0	
orth	Abreuvement		
foreign	Tranken	deu	
entry	Abréviation	0	
orth	Abréviation		
foreign	abbreviatio	lat	
foreign	Abkürzung	deu	
foreign	abbreviation	eng	
foreign	abbreviazione	ita	
term	Add		
term	B. a		
term	B. m		
term	B. v		
term	Cochleat		
term	Colat		
term	Coq		
term	Cyat		
term	Dec		
term	F. s. a		
term	Gutt.		
term	gt.		
term	Inf		
term	Man		
ref	Manipule		
term	N° 1, N° 2		
term	Pug		
term	Pulv		
term	S. a		
ref	Signe		
term	Abréviations usitées en botanique		
ref	Élément		
ref	Notation		
ref	Signe		
term	Abréviations usitées en zoologie		
ref	Signe		
entry	Abricot	0	
orth	Abricot		
foreign	armeniacum	lat	
foreign	Apricose	deu	
foreign	apricot	eng	
foreign	albercocca	ita	
foreign	albericoque	spa	
foreign	πραικόκιον	grc	
term	Abricot d’Amérique		
ref	Mammea		
entry	Abrotone	0	
orth	Abrotone		
entry	Abruption	0	
orth	Abruption		
foreign	abruptio	lat	
foreign	ubbrechen	deu	
foreign	abruption	eng	
foreign	rottura	ita	
entry	Abrus	0	
orth	Abrus		
ref	Abre		
entry	Abrutissement	0	
orth	Abrutissement		
entry	Abscision, Abscission	0	
orth	Abscision		
orth	Abscission		
foreign	ἀποκοπή	grc	
entry	Absence	0	
orth	Absence		
ref	Épilepsie		
entry	Absinthe	0	
orth	Absinthe		
foreign	absinthium	lat	
foreign	Wurmtod	deu	
foreign	Wermuth	deu	
foreign	wormwood	eng	
foreign	assenzio	ita	
foreign	asenjo	spa	
foreign	ἀψίνθιον	grc	
term	Absinthe commune		
term	grande absinthe		
ref	Huile		
term	Petite		
term	Sel d’absinthe		
ref	Carbonate		
ref	Sel		
entry	Absinthé	0	
orth	Absinthé		
foreign	absinthiatus	lat	
entry	Absinthine	0	
orth	Absinthine		
pb	0007	0021	
entry	Absinthique	0	
orth	Absinthique		
term	Acide absinthique		
ref	Succinique		
entry	Absinthisme	0	
orth	Absinthisme		
entry	Absolu	0	
orth	Absolu		
entry	Absorbable	0	
orth	Absorbable		
entry	Absorbant	0	
orth	Absorbant		
foreign	absorbens	lat	
foreign	ahsorbirend	deu	
foreign	aufsaugend	deu	
foreign	absorbent	eng	
foreign	absorptive	eng	
foreign	assorbente	ita	
foreign	ἀναπίνων	grc	
term	Bouches absorbantes		
ref	Bouche		
ref	Poudre		
ref	Tablette		
term	Système absorbant		
ref	Lymphatique		
term	Pouvoir absorbant		
ref	Pouvoir		
entry	Absorption	0	
orth	Absorption		
foreign	absorptio	lat	
foreign	Aufsaugung	deu	
foreign	Einsaugung	deu	
foreign	absorbing	eng	
foreign	assorzione	ita	
foreign	absorcion	spa	
ref	Nutrition		
term	Absorption aérienne		
ref	Respiration		
term	Absorption alimentaire		
term	Absorption assimilatrice		
ref	Assimilation		
term	Absorption de la chaleur		
ref	Pouvoir		
term	Absorption chyleuse		
ref	Pénétration		
term	Absorptioncutanée		
term	A bsorption désassimilatrice		
ref	Désassimilation		
term	Absorption externe ou de composition assimilatrice		
ref	Assimilation		
ref	Digestion		
ref	Nutrition		
term	Absorption interne ou de décomposition, moléculaire, nutritive, organique, désassimilatrice ou interstitielle		
ref	Urine		
term	Absorption intestinale ou digestive		
ref	Digestion		
term	Absorption de la lumière		
ref	Pouvoir		
term	Absorption lymphatique		
ref	Lymphatique		
term	Absorption des médicaments		
ref	Médicament		
term	Absorption pathologique		
ref	Résorption		
term	Absorption placentaire		
ref	Placenta		
term	Absorption pulmonaire, aérienne ou respiratoire		
ref	Respiration		
term	Absorption récrémentitielle		
ref	Digestion		
term	Absorptionveineuse		
ref	Absorption		
ref	Veine		
term	Bubon d’absorption		
ref	Bubon		
entry	Abstème	0	
orth	Abstème		
foreign	abstemius	lat	
foreign	abstemious	eng	
foreign	astemio	ita	
foreign	abstemio	spa	
foreign	ἄοινος	grc	
entry	Abstergent	1	
orth	Abstergent		
foreign	abstergens	lat	
foreign	reinigend	deu	
foreign	abstersive	eng	
foreign	astergente	ita	
foreign	astersivo	ita	
foreign	abstergente	spa	
pb	0008	0022	
ref	Détersif		
entry	Abstersion	0	
orth	Abstersion		
foreign	abstersio	lat	
foreign	astersione	ita	
entry	Abstinence	0	
orth	Abstinence		
foreign	abstinentia	lat	
foreign	Enthaltung	deu	
foreign	abstinence	eng	
foreign	astinenza	ita	
foreign	abstinentia	spa	
ref	Inanition		
entry	Abstractif	0	
orth	Abstractif		
foreign	Abstractions	lat	
entry	Abstraction	0	
orth	Abstraction		
foreign	Abziehen	deu	
foreign	das Abgeleitete	deu	
foreign	abstraction	eng	
foreign	astrazione	ita	
ref	Logique		
entry	Abstrait	0	
orth	Abstrait		
term	Science abstraite		
ref	Science		
entry	Absus	0	
orth	Absus		
foreign	Cassia absus (L.)	lat	
entry	Abulie	0	
orth	Abulie		
entry	Abuta	0	
orth	Abuta		
entry	Acacia	0	
orth	Acacia		
foreign	Akazie	deu	
foreign	gumtree	eng	
foreign	acazia	ita	
ref	Gomme		
term	A. angico		
ref	Angico		
term	A. arabica		
ref	Bablah		
term	A. de Farnèse		
ref	Balibabulah		
term	A. jurema		
ref	Jurema		
entry	Académie	0	
orth	Académie		
entry	Acajou	0	
orth	Acajou		
foreign	Nierenbaum	deu	
foreign	cashew nui	eng	
foreign	acaju	ita	
term	Noix d’acajou		
ref	Huile		
term	Acajou du Sénégal		
ref	Caïl-cédrin		
entry	Acalèphe	0	
orth	Acalèphe		
ref	Polype		
ref	Scolex		
pb	0009	0023	
entry	Acalical	0	
orth	Acalical		
entry	Acalicine	0	
orth	Acalicine		
entry	Acaligulé	0	
orth	Acaligulé		
entry	Acampsie	0	
orth	Acampsie		
entry	Acanthacées	0	
orth	Acanthacées		
entry	Acanthe	0	
orth	Acanthe		
foreign	Acanthus mollis (L.)	lat	
foreign	ἄκανθος	grc	
entry	Acanthichthyose	0	
orth	Acanthichthyose		
ref	Ichthyose		
entry	Acanthobole	0	
orth	Acanthobole		
foreign	acanthobolus	lat	
foreign	Gratenzange	deu	
foreign	acanthabolus	eng	
foreign	acantabolo	ita	
foreign	ἀκανθοβόλος	grc	
entry	Acanthocéphale	0	
orth	Acanthocéphale		
foreign	Stachelkopf	deu	
foreign	acanthocephalus	eng	
foreign	acantocefalo	ita	
entry	Acanthophage	0	
orth	Acanthophage		
entry	Acanthoptérygien	0	
orth	Acanthoptérygien		
entry	Acanthothèque	0	
orth	Acanthothèque		
ref	Helmintbe		
ref	Linguatule		
entry	Acardie	0	
orth	Acardie		
foreign	Herzmangel	deu	
foreign	acardia	eng	
foreign	acardia	ita	
entry	Acare, Acarus	0	
orth	Acare		
orth	Acarus		
foreign	Milbe	deu	
foreign	acarus	eng	
foreign	acaro	spa	
foreign	acaro	ita	
foreign	tarma	ita	
term	Acare des follicules		
ref	Démodex		
term	Acare du fromage		
ref	Tyroglyphe		
term	Acare		
term	acarus de la gale		
ref	Sarcopte		
entry	Acariasis	0	
orth	Acariasis		
entry	Acarien	0	
orth	Acarien		
entry	Acaropse	0	
orth	Acaropse		
entry	Acarotoxique	0	
orth	Acarotoxique		
entry	Acarpe	0	
orth	Acarpe		
foreign	acarpus	lat	
foreign	fruchtlos	deu	
foreign	ἄκαρπος	grc	
entry	Acarpellé	0	
orth	Acarpellé		
foreign	acarpellbus	eng	
entry	Acarus	0	
orth	Acarus		
ref	Acare		
ref	Sarcopte		
entry	Acatalepsie	0	
orth	Acatalepsie		
entry	Acatapose	0	
orth	Acatapose		
foreign	acatoposis	lat	
entry	Acatastatique	0	
orth	Acatastatique		
foreign	ἀκατάστατος	grc	
entry	Acatharsie	0	
orth	Acatharsie		
foreign	ἀκαθαρσία	grc	
entry	Acaudé	0	
orth	Acaudé		
foreign	acaudalus	lat	
foreign	acoccygeus	lat	
entry	Acaule	0	
orth	Acaule		
foreign	acaulis	lat	
entry	Acaweria	0	
orth	Acaweria		
foreign	Ophioxylum serpentinum (L.)	lat	
entry	Accablement	0	
orth	Accablement		
foreign	virium oppressio	lat	
foreign	Niedergeschlagenheit	deu	
foreign	heaviness	eng	
foreign	oppressione	ita	
foreign	aggrevamento	ita	
entry	Accélérateur	0	
orth	Accélérateur		
foreign	beschleunigend	deu	
foreign	acelerador	spa	
term	Force accélératrice		
term	Accélérateur de l’urine		
ref	Bulbo-caverneux		
entry	Accélération	0	
orth	Accélération		
foreign	acceleratio	lat	
foreign	Beschleunigung	deu	
foreign	accélération	eng	
foreign	acceleramento	ita	
entry	Accès	1	
orth	Accès		
foreign	accessio	lat	
foreign	Anfall	deu	
foreign	a fit	eng	
foreign	accèss	eng	
foreign	accesso	ita	
foreign	acceso	spa	
foreign	παροξυσμὸς	grc	
pb	0010	0024	
term	Fièvre d’accès		
ref	Fièvre		
entry	Accessoire	0	
orth	Accessoire		
foreign	participer end	deu	
foreign	accessorium	deu	
foreign	accessory	eng	
foreign	accessories	eng	
foreign	accessorio	ita	
term	Accessoire du sacro-lombaire		
term	Accessoire du long fléchisseur commun des orteils		
term	Accessoire du pancréas		
ref	Glande		
ref	Pancréas		
term	Éléments accessoires		
ref	Élément		
term	Glande accessoire de la parotide		
ref	Salive		
term	Nerf accessoire de Willis		
ref	Spinal		
term	Nerf accessoire de Wrisberg		
term	Sciences accessoires		
ref	Science		
entry	Accident	0	
orth	Accident		
foreign	accidens	lat	
foreign	Zufall	deu	
foreign	accident	eng	
foreign	accidenté	ita	
foreign	accidente	spa	
foreign	συμβεβηκὸς	grc	
term	Accidents Secondaires, tertiaires, consécutifs		
ref	Syphilis		
entry	Accidentalisme	0	
orth	Accidentalisme		
ref	Physiologisme		
entry	Accidentaliste	0	
orth	Accidentaliste		
term	Médecins accidentalistes		
entry	Accidentel	0	
orth	Accidentel		
ref	Production		
entry	Acclimatation, Acclimatement	0	
orth	Acclimatation		
orth	Acclimatement		
foreign	Acclimatisation	deu	
foreign	acclimamento	ita	
term	Acclimatement		
entry	Accombant	0	
orth	Accombant		
entry	Accommodatif	0	
orth	Accommodatif		
entry	Accommodation	0	
orth	Accommodation		
term	Accommodation de l’œil		
term	Accommodation de la tête fœtale		
ref	Accouchement		
entry	Accompagnement	1	
orth	Accompagnement		
term	Accompagnements de la cataracte		
pb	0011	0025	
entry	Accord	0	
orth	Accord		
entry	Accouchement	1	
orth	Accouchement		
foreign	partus	lat	
foreign	Niederkunft	deu	
foreign	Geburt	deu	
foreign	midwifery	eng	
foreign	delivery	eng	
foreign	puerperio	ita	
foreign	pario	spa	
foreign	τόκος	grc	
pb	0012	0026	
ref	Ob		
ref	Ob		
ref	B		
ref	F		
term	Accouchements artificiels		
term	Accouchements contre nature		
term	Accouchement forcé		
ref	Accouchement		
term	Accouchement gémellaire		
term	Accouchements irréguliers		
term	Accouchements laborieux		
term	Accouchements mixtes		
term	Accouchements naturels ou spontanés		
term	Accouchements non naturels		
term	Accouchement physiologique		
term	Accouchements vicieux		
term	Accouchement prématuré		
ref	Avortement		
term	Maison d’accouchements		
ref	Maison		
entry	Accoucheur	0	
orth	Accoucheur		
foreign	adjutor pariùs	lat	
foreign	obstetricans	lat	
foreign	Geburtshelfer	deu	
entry	Accoucheuse	0	
orth	Accoucheuse		
foreign	obstetrix	lat	
foreign	Hebamme	deu	
foreign	midwife	eng	
foreign	levatrice	ita	
foreign	pariera	spa	
foreign	comadre	spa	
foreign	μαῖα	grc	
foreign	μαιείτρια	grc	
entry	Accouplement	0	
orth	Accouplement		
foreign	copulatio	lat	
foreign	Paarung	deu	
foreign	Begattung	deu	
foreign	coupling	eng	
foreign	copritura	ita	
foreign	monta	ita	
foreign	συνδυασμὸς	grc	
ref	Monte		
entry	Accoutumance	1	
orth	Accoutumance		
term	Accoutumance à un médicament		
pb	0013	0027	
entry	Accrémentitiel	0	
orth	Accrémentitiel		
term	Génération accrémentitielle		
entry	Accrémentition	0	
orth	Accrémentition		
foreign	Auswuchs	deu	
term	Génération par accrémentition		
ref	Blastème		
entry	Accrescent	0	
orth	Accrescent		
foreign	accrescens	lat	
entry	Accrétion	0	
orth	Accrétion		
foreign	accretio	lat	
entry	Accroissement	0	
orth	Accroissement		
foreign	accretio	lat	
foreign	incrementum	lat	
foreign	Wachsthum	deu	
foreign	accretion	eng	
foreign	accrescimento	ita	
foreign	αὔξησις	grc	
ref	Accrémentition		
ref	Augment		
term	Accroissement par intussusception		
ref	Développement		
term	Accroissement par juxtaposition		
term	Loi d’accroissement		
ref	Végétalité		
entry	Acculement	0	
orth	Acculement		
entry	Acculer	0	
orth	Acculer		
term	Acculer un cheval		
entry	Acculer	0	
orth	Acculer		
entry	Acedia	0	
orth	Acedia		
ref	Mélancolie		
entry	Acéphale	0	
orth	Acéphale		
foreign	acephalus	lat	
foreign	kopflos	deu	
foreign	acefalo	ita	
foreign	acefalo	spa	
ref	Acépiialien		
entry	Acéphalénie	0	
orth	Acéphalénie		
entry	Acéphalie	0	
orth	Acéphalie		
ref	Anencéphalie		
entry	Acéphaliens	0	
orth	Acéphaliens		
entry	Acéphalobrache	0	
orth	Acéphalobrache		
foreign	acephalobrachius	lat	
entry	Acéphalobrachie	0	
orth	Acéphalobrachie		
foreign	acephalobrachio	lat	
entry	Acéphalocarde	0	
orth	Acéphalocarde		
foreign	acephalocardius	lat	
entry	Acéphalocardie	0	
orth	Acéphalocardie		
foreign	acephalocardia	lat	
entry	Acéphalochire	0	
orth	Acéphalochire		
foreign	acephalochirus	lat	
entry	Acéphalocyste	1	
orth	Acéphalocyste		
foreign	acephalocystis	lat	
foreign	Acephalocyst	deu	
foreign	Wasserblase	deu	
foreign	acefalocisto	ita	
foreign	acefalocisto	spa	
ref	Môle		
pb	0014	0028	
term	Hydatide cancéreuse		
entry	Acéphalogastre	0	
orth	Acéphalogastre		
foreign	acephalog aster	lat	
entry	Acéphalogastrie	0	
orth	Acéphalogastrie		
foreign	acephalog astria	lat	
entry	Acéphalopode	0	
orth	Acéphalopode		
foreign	acephalopodus	lat	
entry	Acéphalopodie	0	
orth	Acéphalopodie		
foreign	acephalopodia	lat	
entry	Acéphalorachie	0	
orth	Acéphalorachie		
foreign	acephalorachia	lat	
entry	Acéphalostome	0	
orth	Acéphalostome		
foreign	acephalostomus	lat	
entry	Acéphalothoracie	0	
orth	Acéphalothoracie		
foreign	acephalothoracia	lat	
entry	Acéphalothore	0	
orth	Acéphalothore		
foreign	acephalothorus	lat	
entry	Acer	0	
orth	Acer		
ref	Acérinées		
entry	Acératie, Acératose	0	
orth	Acératie		
orth	Acératose		
foreign	aceratia	lat	
foreign	defectus cornuum	lat	
entry	Acératothérion	0	
orth	Acératothérion		
entry	Acerbe	0	
orth	Acerbe		
foreign	acerbus	lat	
foreign	herbe	deu	
foreign	acerb	eng	
foreign	hàrsh	eng	
foreign	acerbo	ita	
foreign	acerbo	spa	
foreign	στρυφνὸς	grc	
entry	Acerbité	0	
orth	Acerbité		
foreign	acerbitas	lat	
foreign	Herbigkeit	deu	
foreign	acerbity	eng	
foreign	ocerbezza	ita	
entry	Acerdèse	0	
orth	Acerdèse		
entry	Acéré	0	
orth	Acéré		
foreign	nadelförmig	deu	
entry	Acérinées, Acéracées	0	
orth	Acérinées		
orth	Acéracées		
entry	Acérique	0	
orth	Acérique		
term	Acide acérique		
entry	Acervule	0	
orth	Acervule		
foreign	acervulus	lat	
foreign	Hirnsand	deu	
entry	Acescence	0	
orth	Acescence		
foreign	acescentia	lat	
foreign	acescenza	ita	
entry	Acésie	0	
orth	Acésie		
foreign	ἀκεσις	grc	
entry	Acétabule	0	
orth	Acétabule		
foreign	acetabulum	lat	
foreign	Gelenkpfanne	deu	
foreign	acetabulum	eng	
foreign	acetabolo	ita	
term	Acétabules		
term	cotylédons		
entry	Acétal	0	
orth	Acétal		
foreign	ace talium	lat	
foreign	Acetal	deu	
entry	Acétamide	0	
orth	Acétamide		
entry	Acétate	2	
orth	Acétate		
foreign	acetas	lat	
foreign	essigsaures Salz	deu	
foreign	acetato	ita	
foreign	acetato	spa	
pb	0015	0029	
term	Acétate dalumine		
term	Acétate d’ammoniaque		
term	Acétate d’argent		
term	Acétate de baryte		
term	Acétate de butyle		
ref	Butyle		
term	Acétate de chaux		
term	Acétate de chloramylène		
ref	Giilohamylène		
term	Acétates de cuivre		
term	Acétate de cuivre et d’ammoniaque		
term	Acétate de fer		
term	A citâtes de mercure		
pb	0016	0030	
ref	Dragée		
term	Acétate de méthylène		
ref	Mésite		
term	Acétate de morphine		
ref	Sirop		
term	Acétate d’oxychlorovaléryle		
ref	Chloramylène		
term	Acétate de pepsine		
ref	Pepsine		
term	Acétates de plomb		
ref	Lotion		
ref	Eau		
term	Acétate sexplombique		
term	Papier d’acétate de plomb		
ref	Réactif		
term	Acétate de plomb ammoniacal		
term	Acétate de potasse		
term	Acétate de quinine		
term	Acétate de soude		
term	Acétate de zinc		
ref	Sulfate		
term	Gaz des acétates		
ref	Hydrogène		
entry	Acete	0	
orth	Acete		
entry	Acétène	0	
orth	Acétène		
foreign	méthyle	lat	
term	Acétène monocyané		
ref	Cyanhydrique		
term	Acétène monoiodé		
ref	Iodhydrique		
term	Acétène monosulfuré		
ref	Sulfhydrique		
term	Acétène monotelluré		
ref	Tellurhydrique		
term	Acétène monoxé		
ref	Éther		
term	Acétène trioxé		
ref	Acétine		
entry	Acéteux	0	
orth	Acéteux		
term	Acide acéteux		
ref	Aldéhydique		
term	Fermentation acéteuse		
ref	Fermentation		
term	Sel acéteux		
ref	Sel		
entry	Acétification	1	
orth	Acétification		
foreign	acetiftpatio	lat	
pb	0017	0031	
entry	Acétimétrie	0	
orth	Acétimétrie		
ref	Oxymétrie		
entry	Acétine	0	
orth	Acétine		
entry	Acétique	0	
orth	Acétique		
foreign	acetico	spa	
term	Acide acétique		
term	acétène trioxé		
term	Éther acétique		
term	Baume acétique		
ref	Baume		
term	Fermentation acétique		
ref	Fermentation		
term	Mannite acétique		
ref	Mannite		
entry	Acétite	0	
orth	Acétite		
entry	Acéto-butyrique	0	
orth	Acéto-butyrique		
ref	Propionique		
entry	Acétol	0	
orth	Acétol		
entry	Acétolat	0	
orth	Acétolat		
